SYMBOL,Tumour_GSM508549.ERN.HER2N_RES,Tumour_GSM508559.ERP.HER2N_RES,Tumour_GSM508581.ERN.HER2N_RES,Tumour_GSM508582.ERN.HER2N_RES,Tumour_GSM508585.ERN.HER2N_RES,Tumour_GSM508587.ERN.HER2N_RES,Tumour_GSM508590.ERN.HER2N_RES,Tumour_GSM508592.ERN.HER2N_RES,Tumour_GSM508632.ERN.HER2N_RES,Tumour_GSM508634.ERP.HER2N_RES,Tumour_GSM508668.ERP.HER2N_RES,Tumour_GSM508669.ERN.HER2N_RES,Tumour_GSM508671.ERN.HER2N_RES,Tumour_GSM508672.ERN.HER2N_RES,Tumour_GSM508673.ERP.HER2N_RES,Tumour_GSM508776.ERN.HER2N_RES,Normal_GSM556167,Normal_GSM556168,Normal_GSM556169,Normal_GSM556170,Tumour_GSM508567.ERP.HER2N_NRES,Tumour_GSM508654.ERP.HER2N_NRES,Tumour_GSM508674.ERP.HER2N_NRES,Tumour_GSM508675.ERN.HER2N_NRES,Tumour_GSM508676.ERP.HER2N_NRES,Tumour_GSM508677.ERP.HER2N_NRES
A4GNT,4.554980988101593,4.023496945973804,3.71874249407797,3.7762878487482068,3.811371489514857,4.121368049844557,3.6609103034479005,3.9411642671741483,3.5652339555663928,3.554263416206944,2.822808278695126,2.6416173445344744,3.5672794097257396,3.494218073344508,3.1091597144980736,3.6800958464551234,2.6923757473808156,3.1953686349123127,3.1471405060406705,3.9228054125582124,3.8011960137151877,2.67047275330988,3.7374799227663154,3.4662606939080134,4.2885175801109785,3.3479158419241353
AADAT,3.646628474624807,2.665313640346937,3.8966976706995133,3.3836756881029246,1.911733974970756,3.262761117098524,3.754795708810979,3.0284246326528663,3.474985326825213,2.8477651659707743,2.3794684333930665,1.903820131015061,2.0050733128575087,2.859150786652519,2.7654631794224303,3.034575562092371,2.931478819672664,2.705136964220629,2.720382371010489,2.929836264690631,2.4530385483371577,2.8217128388496695,3.2257651327579033,2.842607597981258,2.9845363980764774,2.0228619509364174
AANAT,3.01837845421612,3.8763938890991345,3.289084965206874,3.54751101892204,4.769608189799441,4.049056444913519,3.4932205140982635,3.785070494114815,3.4042241418706793,4.298759189480656,3.945366510611384,3.6639552848466552,3.664043971793894,3.213909303933796,3.7599000025174782,3.74093245723424,3.472457020070222,3.0465770046161738,3.318024087615499,3.1101262326231045,3.0802580207952412,3.8598114705871995,6.338770016360434,3.776530943276134,4.230724533613907,2.8279653530567024
AARS,2.0742276934361428,2.0604843468341643,1.835813018902945,1.9667050593195496,2.0951942326863993,2.5550324184395605,1.5436348113193485,2.7980668079826594,3.7416999643385727,2.0261165543441613,1.7822246510990576,3.520471069596038,1.8607507410392787,1.8015217298759534,2.030753995145786,2.4725680943106423,2.446873658678266,2.0958027923830573,1.9800933454203729,1.8947071743485755,1.7006994156967727,1.5639765115941602,2.367249174311878,1.9000012956526955,1.9729256360687861,2.084376442609679
AASDHPPT,2.8223847215260744,1.937832742986815,3.1954033134744675,3.115115756426061,3.2290930077785838,3.4491539242093765,2.5480808549580147,2.2170252071381875,2.2900117447694193,2.118635984098382,3.0574816571204493,3.44906362521341,1.8831529356543166,2.4496412530228824,2.3952582392920787,3.529104192245622,2.663270604501228,3.0246501595984188,2.5338635448440785,3.1449275773077296,2.261596576999086,2.8304970583430378,3.4533591732024487,2.6781899755294782,2.3616493893118826,3.021162849569012
AASS,2.826463256532132,2.6990539103315836,4.399569857987517,1.6198172745077468,1.2570345681994977,2.004222898266946,2.607799579463591,1.7036911757242785,2.0369474523033846,2.3505469173973284,2.0622866180570867,1.5421371051676283,1.9369833974850448,3.9257581267782142,2.5627065597087704,1.9098889555541825,3.1222303165871055,2.747918620314871,3.159755326763339,2.12312895600592,2.251048751619472,2.480257631144556,1.3611543695942123,2.8148655160262335,3.63385654803989,1.9744014350739911
AATK,3.4781117893730427,3.2354212485027407,3.0726354934763696,2.7303453114067153,2.9790449426918593,4.106760708555233,3.4823270727461266,2.653183045660349,2.706236981930366,3.108527724532669,2.371502388817435,3.899859282277511,2.705948508546881,3.2185336557073234,3.2277204637989017,2.560493688246486,2.8161790469034202,2.1359952186229636,2.5147906901321644,2.372583626673906,2.942834561425352,3.2830803505191946,3.116348262539744,3.492279172262178,3.239802164657082,3.1591156910629596
ABAT,2.09398023282056,2.1223717865219363,2.729873187101613,1.8611561545815782,2.1694960990371395,1.5300359299090465,1.9656903581756724,2.0179638512062974,1.7982730479868378,1.9966050744693433,7.200674797715703,1.9158832012036724,2.039198894241954,2.127383808936708,2.2987635888213647,5.2153454808095105,1.9623708086434464,2.9085666466056943,3.063835165646315,2.3193961650003114,4.016631456379719,7.410744850634991,8.395800114524738,1.9641513504241626,2.152391248772365,3.8104571271364187
ABCB10,2.7195108245011332,2.3882244148332528,3.4344105446783955,4.078218199374556,2.91993336163402,3.407055611543308,2.536753012903638,3.646935738296892,2.5597158830258233,2.6268904803112534,3.5066157936610023,2.3530508630922675,2.1246818415882007,2.1524853888903364,2.524760966820781,2.333742662719907,3.0684150923214237,2.256183872606059,2.4815979061317646,2.7056817181600303,2.1356822834035314,2.857231361399307,3.0919683110566285,2.5587930442585387,2.675544752669652,3.2739536896562047
ABCB11,2.611239276543887,3.211933304271282,3.167248222615315,3.3335458711720856,2.8057959510058197,2.8436622136480736,3.4000500215889433,2.5218495490581305,2.649013908911445,3.1410593344841446,3.0096452353112,2.573226221064572,3.8150487165888585,3.4900405186186756,3.517761170474973,2.8419571409719353,3.907269825031952,2.7729022134011356,3.0803530797298815,2.250764485439494,3.258155475883112,3.0609945740039697,2.4651438621800303,3.400156921313044,3.4125326381322374,2.3593416429766445
