SYMBOL	Norm*4*AVG_Signal	Norm*5*AVG_Signal	Norm*6*AVG_Signal	Tumour*7*AVG_Signal	Tumour*8*AVG_Signal	Tumour*9*AVG_Signal	Tumour*10*AVG_Signal	Tumour*11*AVG_Signal	Tumour*12*AVG_Signal
7A5	62,3	54	59,6	59,4	73,2	62,3	59,9	66,3	54,4
A1BG	63	72,8	66	72,9	83,9	77,2	78,9	79,6	53,1
A1BG	56,4	59	59,9	56,7	69,9	63	51,3	55,1	58,5
A1CF	62,4	55,7	59,5	70,6	70,2	68,3	62,4	59	57
A1CF	57,8	65,2	58,5	67	63,3	62,7	53,6	58,5	49
A1CF	39,2	46,1	44,8	58	50,8	48	47,7	39,4	39,7
A26C3	56,5	66,6	57,8	78,8	75,7	77,9	65,1	60,6	56,5
A26C3	35,9	32,6	42,4	39,8	35,5	38,1	39,5	38,2	33,9
A26C3	71,5	65,4	59,4	71,3	57,3	65,5	70,6	66,2	61,3
A2BP1	58,8	53,7	63,8	57,6	64,6	67,4	51,2	60,7	58,8
A2BP1	38,5	37,7	39,8	47,2	46,5	46,3	42,2	50,7	39
A2BP1	38,3	34,8	34,6	43	36	45,8	38,4	46	36,3
A2BP1	47,6	51,3	42	53,3	60,5	55,8	45,1	48,4	41,2
A2LD1	122,4	134,7	127,1	148,9	155,9	157,2	137,3	129,5	147,2
A2M	41,5	34,6	40,6	46	42,8	43,3	40,8	35,7	38,3
A2ML1	39,1	40,5	33,8	48,3	40,1	45,1	41	42,2	37,7
A3GALT2	60,3	54,3	52,4	69,9	66,2	60,5	48,3	52,3	49,8
A3GALT2	62,3	53,8	56,7	60,1	65	71,4	52,9	55,8	52,3
A4GALT	41,7	38,8	35,1	46,3	41,6	47,4	40,8	38,8	43,7
A4GNT	63,8	42,8	58,2	73,5	73,1	64,3	50,2	59,6	53,6
AAA1	53,3	52	46,3	64,5	56,6	63,5	59,5	55	52,8
AAA1	61,2	69,9	63,2	64,4	65,4	64,1	63,4	58,6	63,8
AAA1	55,7	57	48,9	70	65,4	61,1	58,4	64,2	61,5
AAA1	40,8	37,4	41,3	49,7	44,7	42,6	46,5	39,3	42,6
AAA1	44,3	40,5	45,5	47,9	51,9	52,8	36,9	43,3	35,6
AAAS	89,3	88,2	106,1	95,7	78,7	98,9	83,6	85,4	115,3
AACS	60,5	61,8	68,7	75,6	85,3	88,7	67	61,7	64,4
AACSL	69,7	74,4	70	82,5	79,6	82,3	70,4	74,5	82
AADAC	57,3	56,9	54,3	62,3	62,2	67,6	62,6	56,5	65,1
AADACL1	170,8	175,2	169,1	183,4	182	182,2	162,1	165,6	165,2
AADACL1	123,6	105,6	135,5	118,6	120,7	125,1	109,3	99,8	126,3
AADACL2	62,1	61,1	58,5	70,1	66,5	58,7	52,4	55,8	62,8
AADACL3	51	52,9	58,2	71,3	60,8	58,5	58,5	48,5	55,5
AADACL4	39,4	36,3	37,1	48,9	42,9	44,4	41,3	39,6	36,1
AADAT	100	98,2	91	92,2	88,9	99,3	92,9	76,8	87,4
AADAT	52,8	45,5	48,5	49,2	54,3	50,8	48	44,3	37,8
AADAT	45,7	55,1	49,9	69,3	44,6	51,4	52,7	50,9	51
AADAT	302,1	279,1	351,5	310,5	288	318,4	292,9	292,7	314,6
AAGAB	135,2	113,3	132,5	131,1	140,6	148,8	121,5	108,7	143,3
AAK1	72,6	68,7	85,7	71,8	78	82,5	62,4	70,9	56,4
AAK1	57,2	52,6	45,5	49,7	62,6	50,9	49,3	51,7	47,6
AAK1	41,5	47,6	39,1	51,4	47,3	46,3	42,4	42,6	41,4
AAMP	143,9	130,9	142	158,8	140,6	150	133,9	127,2	133,8
AANAT	37,1	37,9	42	51,3	42,6	37,8	39	42,7	40,6
AARS	2120,1	2030,4	2066,9	3096,5	2782,4	2883,9	2080,3	2146,5	2586,6
AARS2	169,4	131,1	141	202,7	145,5	184,6	139,4	151,5	155,3
AARSD1	302,7	292,3	248,5	336,9	299,2	323,1	292,1	319,1	245,7
AASDH	118,7	111,9	113,9	114,3	107,7	110,9	108,8	101,3	146,8
AASDHPPT	244,1	244,5	269,5	200,7	245,1	243,9	231,1	201,4	314,7
AASDHPPT	342,2	348,1	470,8	379,5	352,4	465,3	389,7	430,9	551,5
AASS	61	57,8	54,3	64,1	58,6	73,6	64,5	59,5	52,2
AASS	52	49,4	49,2	62,3	49,8	54	47,8	44,3	53,2
AATF	427,8	461,3	545,8	450,6	468,3	480,6	391,5	351,2	495,4
AATK	60,5	75	57,4	79	69	81,7	59,3	64,2	54,8
AATK	45,2	53	57,4	67,3	64,3	67,2	59,4	52,9	54,2
AATK	94,2	81,1	86	113,8	95,2	97	93,3	74,4	74,5
ABAT	62	64,5	61,1	64,3	63,7	76,1	57	52,5	56,4
ABAT	41	39,5	34,4	50,6	50,7	46,4	42,3	40,1	37,4
ABAT	37,5	45,7	39	53,1	49,4	43,7	36,6	38,3	44,3
ABCA1	44	45,8	43	47,5	44,2	51,1	50,2	44,1	40,2
ABCA10	62,7	66,1	61,3	70	66,1	70,5	64,3	60,1	54,8
ABCA10	58,9	65,8	68,2	69,9	71,2	70,9	63,2	63,3	69,8
ABCA11	73,3	80,1	81,4	81,1	73,6	71,5	74	69,5	66,5
ABCA12	38,3	42,7	36,6	49,7	42,8	48,3	40,7	44,8	38,4
ABCA12	41,1	41,6	39,9	52,6	42,6	50,6	42,9	42,9	46,7
ABCA13	34	36,1	38,1	48	37,4	41,5	35,4	33,9	36,2
ABCA2	51,5	54,6	52,8	48,5	57	61,5	64,8	53,4	46,8
ABCA2	42,1	43,7	46,5	60,1	51,1	57,6	41,7	41,3	49,1
ABCA3	67,1	70,4	60,4	95	72,1	79,5	73,1	75,2	63,9
ABCA4	51,5	57,4	50,1	69	63,4	62,5	51,9	50,8	55,8
ABCA5	34,8	33,3	35,5	46,6	42,6	39,6	34,3	34,3	39,2
ABCA5	38,7	40	39	41,7	45,4	39,6	40,9	37,7	34,8
ABCA5	44,6	46,9	47,1	48,6	43,4	46	40,8	41,6	43,8
ABCA6	57,3	47,6	56	59,5	58,4	61,8	50,2	44,9	45,2
ABCA6	58,5	57,1	55	70,6	65,4	61,2	64,5	50,1	66,9
ABCA7	47,7	53,9	39,4	65	57,5	51,4	49,1	51,7	55,1
ABCA7	204,7	179,3	162	234,3	248,1	297,2	179,4	203,5	170,3
ABCA7	49	52,7	57,5	61,2	54,6	53,6	52	52,5	42,5
ABCA8	59	56,9	49,9	67,6	64,3	56,7	52,1	53,2	58
ABCA8	52,8	62,3	58	67,3	72,1	73,5	55,5	69,6	61,6
ABCA9	71	70,1	68,9	86,5	78	85,4	69	64,8	71,9
ABCA9	43,6	46,7	44,8	62,1	48,3	46,9	47,2	44,7	30,5
ABCB1	122,9	120,7	119,2	135	123,5	137,4	105,6	114,9	143,3
ABCB1	86,6	80,8	86,9	96,9	78,3	79,7	72,6	64,3	86,4
ABCB10	287,1	297,5	390,2	383,7	287,3	322,6	280,9	325,3	439,9
ABCB11	67,4	71,4	62,1	73,4	80,3	67,2	72,7	61	64,5
ABCB4	82,9	74,7	89,8	113,3	103	119,7	84,3	74,5	77,8
ABCB5	40,6	37	38,8	52,1	33,5	42,1	39,6	38	39,7
ABCB6	62,2	65,3	73,6	76,4	71,2	81,9	78,3	75,4	69,8
ABCB7	490,6	463,1	397,7	454,9	431,6	396,3	357,7	388,1	440,6
ABCB8	55,5	58,3	56,6	67,5	58,6	64,1	50,4	55,1	52,2
