SYMBOL,Tumour55.AVG_Signal,Tumour56.AVG_Signal,Tumour60.AVG_Signal,Tumour64.AVG_Signal,Tumour66.AVG_Signal,Tumour68.AVG_Signal,Tumour69.AVG_Signal,Tumour72.AVG_Signal,Norm_1_AVG_Signal,Norm_2_AVG_Signal,Norm_3_AVG_Signal
"7A5",137.0958,161.7193,156.1828,156.6153,132.4772,137.8371,109.2066,156.8559,36.8,44.1,42.2
"A1BG",137.6663,156.9451,154.514,140.038,139.2569,131.0398,121.698,146.6156,42.4,44.85,46.65
"A1CF",135.4233,150.69,132.099,135.0352,143.0748,124.1815,114.3691,134.2066,39.1667,44.1667,40.5
"A26C3",129.5503,158.4299,132.2922,136.8232,139.7385,130.3347,115.9578,134.0676,45.9,45.3333,45.5
"A2BP1",123.9731,139.1923,120.8386,130.1333,128.618,118.8545,109.3253,131.8182,42.575,45.6,40.875
"A2M",625.8732,1682.748,559.729,2689.829,2849.417,442.2416,687.4152,732.3582,347.1,527.5,335.5
"A2ML1",116.2767,124.2371,117.0845,174.5816,220.0994,1832.952,134.6578,110.1005,48.4,66.4,43.4
"A3GALT2",128.1501,159.1212,145.5348,139.9472,140.9095,141.2391,105.2663,136.9206,40.05,42.65,41.95
"A4GALT",566.6653,155.6673,503.6968,165.4512,368.7056,247.1591,381.6385,131.5241,155.9,166.3,214.5
"A4GNT",154.5614,162.6404,139.619,170.1318,149.8425,126.165,148.3244,156.0922,40.8,41.4,48.4
"AAA1",127.1389,146.6465,130.8814,135.4789,126.8027,119.0287,113.6931,140.9026,42.34,43.24,41.62
"AAAS",243.8982,164.0927,164.6431,184.1429,187.6132,155.5045,215.9736,175.7046,69.8,73.8,58.7
"AACS",222.1272,243.5631,180.4762,183.9992,223.6607,288.3664,176.0541,215.4868,72.3,97.7,70.1
"AACSL",140.699,178.048,157.4166,149.2494,159.1419,169.9923,145.1974,169.9454,41.7,46,42.2
"AADAC",163.071,245.8873,143.2105,206.1913,146.7754,134.5161,121.9171,134.3379,45.7,75.4,49.6
"AADACL1",309.5647,298.7292,259.2322,370.1751,476.4135,230.3088,330.8148,329.1346,114.65,116.25,87.2
"AADACL2",130.2576,149.8295,134.8699,143.6863,154.8542,141.5372,122.1423,150.9221,47.4,45.9,62.8
"AADACL3",126.2491,150.9601,127.8074,150.1536,124.6817,124.111,99.28558,134.4804,45.7,44.7,48
"AADACL4",114.6239,132.6315,114.2917,113.8708,127.651,116.3372,116.0532,121.357,43.2,35.3,37.6
"AADAT",145.6743,304.7341,240.0574,309.2772,215.5258,135.8115,173.4514,269.5736,64.525,63.95,57.625
"AAK1",226.5195,255.5243,186.7769,214.7397,198.3149,547.8598,206.5182,201.777,45.3333,60.8,55.2
"AAMP",663.4454,400.6266,521.914,431.2539,607.9589,376.1681,587.644,480.4433,113.7,161.8,129.3
"AANAT",111.2006,116.3047,116.2353,115.0505,103.6149,106.8502,102.3583,104.6966,40.7,34.6,36.1
"AARS",2957.004,1304.167,2710.077,1662.293,2837.5,3053.506,1964.117,1312.538,946.7,1228.9,1019.5
"AARS2",288.1528,251.0401,371.8777,299.4637,455.7482,249.7675,290.4803,296.1292,87.5,109.9,88
"AARSD1",326.8672,452.5009,350.4862,641.1571,499.9785,320.0357,313.5273,366.7251,242.7,329.4,232.9
"AASDH",211.1843,240.8548,274.3216,285.567,287.538,202.752,221.0242,196.0523,117.8,130.7,97.1
"AASDHPPT",246.157,322.9498,376.1531,341.1292,326.9589,359.6333,388.6506,412.9669,82.55,128.3,125.75
"AASS",148.4082,179.9957,211.1635,142.4986,175.3009,171.1012,142.1268,159.6214,53.5,65.55,56.45
"AATF",724.8543,499.9338,632.7308,840.2117,640.9222,362.5467,684.8553,435.4189,334.5,399.3,271.9
"AATK",144.5166,171.9359,160.5848,174.8543,155.3397,148.475,145.2322,167.0244,41.9333,42.7667,40.2667
"ABAT",150.3079,187.5835,169.0703,132.0209,153.1554,120.4418,255.9777,182.0491,47.4333,49.0667,41.8
"ABCA1",1363.687,378.9432,1092.425,850.1534,1865.346,361.6243,1027.213,362.7898,562.6,432,352.7
"ABCA10",125.0781,161.2491,143.6912,166.0827,163.1659,127.8096,140.5611,208.7016,37.55,53.7,43.5
"ABCA11",126.447,169.2488,147.4479,168.5634,160.5594,140.6788,142.9059,175.3516,47.8,53.7,44.8
"ABCA12",112.5599,126.152,109.6297,113.3693,119.4149,157.3718,109.7336,113.1111,42.95,40.85,40.25
"ABCA13",131.2801,126.4356,106.6607,146.1113,116.6596,198.1131,115.0647,111.5901,42.3,42.2,35
"ABCA2",176.0835,140.1365,136.5019,136.5369,129.8047,132.8113,166.8395,148.6268,46.5,55.1,49.25
"ABCA3",227.5247,172.5314,155.5187,184.4749,199.5635,147.4758,132.4894,163.6682,54.3,61,51
"ABCA4",145.3933,152.1025,126.4519,133.709,153.5152,137.1302,130.7227,132.4637,62.3,59.2,61.9
"ABCA5",111.8287,148.1202,134.2122,126.974,122.4197,124.3272,123.1221,132.9973,49.0667,50.2,45.3
"ABCA6",136.0822,181.8815,250.365,263.1293,169.8499,143.2241,485.9245,168.8363,117.95,157.6,252.5
"ABCA7",167.9769,169.3112,140.364,166.0728,161.994,165.7938,141.724,148.1236,58.8667,67.8,61.2333
"ABCA8",133.0723,213.9326,150.7048,179.4774,163.4389,131.8684,126.2741,156.9729,114.2,168.55,106.3
"ABCA9",131.2388,180.2672,149.1063,165.41,159.6464,143.2279,187.3712,224.6346,49,61.6,55.35
