,SYMBOL,logFC,adj.P.Val
0,5S_rRNA,0.0,1.0
1,7SK,0.31222558818,1.0
2,A1BG,0.797502165917,1.0
3,A1BG-AS1,-0.0169126092026,1.0
4,A1CF,0.155824466875,1.0
5,A2M,0.0,1.0
6,A2M-AS1,0.0946851244659,1.0
7,A2ML1,0.0,1.0
8,A2ML1-AS1,0.0,1.0
9,A2ML1-AS2,0.0,1.0
10,A2MP1,0.0,1.0
11,A3GALT2,0.0,1.0
12,A4GALT,-0.156750507776,1.0
13,A4GNT,-0.649815458131,1.0
14,AAAS,-0.0439776972049,1.0
15,AACS,-0.0851352676251,1.0
16,AACSP1,-0.452497834083,1.0
17,AADAC,0.00564100813795,1.0
18,AADACL2,0.0,1.0
19,AADACL3,0.0,1.0
20,AADACL4,0.0,1.0
21,AADAT,-0.0440019952852,1.0
22,AAED1,-0.0100997855079,1.0
23,AAGAB,-0.0693760534114,1.0
24,AAK1,0.0979636978087,1.0
25,AAMDC,0.374429120595,1.0
26,AAMP,0.00264393082685,1.0
27,AANAT,0.280524833209,1.0
28,AAR2,-0.0221824056267,1.0
29,AARD,inf,1.0
30,AARS,-0.0218247982433,1.0
31,AARS2,-0.0775860218484,1.0
32,AARSD1,0.179013171337,1.0
33,AASDH,0.094784967511,1.0
34,AASDHPPT,-0.0790135272157,1.0
35,AASS,-inf,1.0
36,AATF,-0.0893856812203,0.880341062346
37,AATK,-0.207327620003,1.0
38,AATK-AS1,1.85470683854,1.0
39,AB015752.3,0.0,1.0
40,AB019438.66,0.0,1.0
41,AB019440.1,0.0,1.0
42,AB019440.50,0.0,1.0
43,AB019441.29,0.0797058372887,1.0
44,ABAT,-0.521314560488,1.0
45,ABC12-47043100G14.2,0.0,1.0
46,ABC7-42389800N19.1,0.226592558832,1.0
47,ABC7-43041300I9.1,0.0,1.0
48,ABCA1,-0.0118739287425,1.0
49,ABCA10,-0.0431403539295,1.0
50,ABCA11P,0.198223268096,1.0
51,ABCA12,0.473104258949,1.0
52,ABCA13,0.0,1.0
53,ABCA17P,0.28289799436,1.0
54,ABCA2,0.0568302960865,1.0
55,ABCA3,-0.122976450404,1.0
56,ABCA4,0.322386084304,1.0
57,ABCA5,-0.0703220771644,1.0
58,ABCA6,0.0,1.0
59,ABCA7,0.0798941053105,1.0
