gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
01-Dec	0.0349245707445256	6.41007668360069	2.04134563337536	0.0416002308642084	0.0590656998030189	-6.43692051898498
01-Mar	1.00448822207085	6.45536821112128	20.3260666247742	1.9679043147063e-70	5.05106136337415e-73	153.206222996944
01-Sep	1.09566296215011	6.6453517803838	27.4101374520854	1.12227812052026e-106	2.90001784478197e-116	245.0824827907
02-Mar	0.257905184577758	7.11140125412239	5.15775747448857	0.00187280156245675	9.90745423564553e-12	6.2374441902647
02-Sep	-0.304452167876027	9.36700139722938	-4.51754754558272	1.50073743501984e-09	3.62365451555886e-95	140.29115851289
03-Mar	-0.0410954125542657	7.45302927258	0.0356353918903146	0.0336331888404684	0.00012096364612729	-4.49082747047415
03-Sep	-0.0504629386796061	6.48722110993143	-0.725569230118296	0.484510300604981	0.372353922432629	-8.2161291335348
04-Mar	-1.33717503260993	7.31371303065298	-10.1073213454543	1.77782644480153e-22	9.25987216744827e-22	39.1354526524679
04-Sep	-0.189860585643105	6.64541107281768	-3.79362546033453	0.0875610189542252	3.08418997379297e-08	0.40819575297417
05-Mar	0.215878494239303	7.30388750597285	5.82752586693859	0.000273814675331749	5.65792338041142e-15	10.4595588780834
05-Sep	0.326060376191462	7.18251687539769	-0.388987724513892	0.268908060965244	1.49927345497371e-15	11.4671126626409
06-Mar	0.761012317629733	8.90194043948946	10.1026389960108	1.85326355754771e-22	9.64853296809257e-22	39.094248827154
06-Sep	1.40538319333125	7.01155708157747	29.7369684641643	3.34768823916776e-47	4.577665092321e-255	264.887342738423
07-Mar	0.247233944080312	9.89255086898977	4.59900327147188	5.0590679854587e-06	1.25410612513095e-05	1.90972650795389
07-Sep	-0.0257093675011202	7.32173984786351	-0.283986807762928	0.776506545116115	0.809846904528868	-8.47599363493548
08-Mar	0.110749840148469	6.37897988300095	5.06630777747277	0.0818961634623198	1.22657738059746e-57	26.2119271821286
08-Sep	-0.162983969001969	6.75967147787733	-6.5533163029912	1.10870011637861e-10	3.77188037143832e-10	12.3306957965559
09-Mar	0.00356392710127018	6.53078789137831	0.156715462557704	0.875515404872812	0.896061976413881	-8.50406588265361
09-Sep	-0.224135510050838	12.5997234457577	-3.75145266267768	0.000190736220521067	0.000396019976764134	-1.54373548879522
10-Mar	0.0133498715784151	6.32307465616269	0.77092858694134	0.459360541506574	0.343065940128685	-8.17826125760963
10-Sep	-0.529936565525738	6.84274517564447	-14.8113702290773	0.0644681283542995	9.67212440888507e-109	111.344202842815
11-Mar	0.0149377244995632	6.34276569358117	0.895806830618188	0.370671492769191	0.42538597713533	-8.11492999857997
11-Sep	-2.29023710857092	9.48170728326137	-15.7682876214127	5.31174331111021e-48	5.27610827186217e-47	97.6111961788197
12-Sep	0.0484460272765723	6.58018992363221	2.72306728219858	0.0066330231483267	0.0109325906029669	-4.8248488982852
13-Sep	0.436088447314081	6.70969545703222	16.558811883741	4.97025024564156e-52	5.42147550466273e-51	106.861469248915
14-Sep	0.0431179665124972	6.33719567036883	2.47549363131096	0.0135466404899701	0.0211315601090488	-5.46272570698454
