gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
DEC1	0.0708729416	6.4097209874	2.7486397244	0.006150433	0.0135014677	-3.7969867242
MARCH1	0.0966664846	6.3764295075	3.3162319517	0.001339559	0.0011765215	-2.0711305114
SEPT1	-0.0522893349	6.5536668046	-1.6629891137	0.2501340569	0.0180036979	-5.7015878908
MARCH2	-0.1730515858	7.0841319308	-1.7193548549	0.0828762322	0.0001196432	-3.383557059
SEPT2	-0.1784840145	9.3856482122	-2.829558587	0.0815705631	1.40417384433073e-12	9.5831059213
MARCH3	-0.5832446503	7.4357608478	-3.4964468447	0.0049481894	1.17522942333447e-05	-1.0684828033
SEPT3	0.2253889096	6.4993339275	2.1488650322	0.0321236722	0.0522837264	-5.2496684086
MARCH4	-0.6512974155	7.400303728	-3.1143812629	0.0019243435	0.0049023015	-2.7401478662
SEPT4	-0.0582367489	6.658917288	-1.6023837613	0.3080002936	8.57825719705555e-06	-4.2550019541
MARCH5	0.1364604436	7.2910159662	2.8585566722	0.0137596872	0.0014828379	-3.294494156
SEPT5	-0.157044934	7.1502258143	-1.1841421176	0.0409014771	0.003409676	-4.609564953
MARCH6	-0.2901490507	8.8292773022	-2.6193163257	0.0090161356	0.0188550411	-4.1398634541
SEPT6	-0.1712208355	6.8902694223	-2.0160313646	0.0065806473	6.25571065605282e-05	-0.854925533
MARCH7	-0.036489919	9.8709886757	-0.4510948905	0.6520715777	0.7162487813	-7.4465867695
SEPT7	-0.5676549759	7.3037615372	-4.130932986	4.08479643506947e-05	0.0001619891	0.8637445202
MARCH8	-0.0398307239	6.3684899742	-1.6090212952	0.2353692967	0.0074471498	-5.5508408928
SEPT8	0.018123715	6.7736760322	0.4767868595	0.6336741157	0.6999804046	-7.4346853378
MARCH9	0.0463146668	6.5321345073	1.3276673143	0.1847540083	0.2512703457	-6.6690850649
SEPT9	-0.2861760825	12.607974358	-3.2440092265	0.0012389631	0.0033271244	-2.3348461168
MARCH10	-0.0300455452	6.3209169339	-1.2143301111	0.4529749939	0.0218461845	-5.915179596
SEPT10	-0.0241750632	6.8853398933	-1.087686173	0.1379813975	0.0419345613	-5.9070463785
MARCH11	0.0681628177	6.3439528465	2.6514786151	0.0082093395	0.0174020606	-4.0561011099
SEPT11	-1.1089385907	9.6302472414	-5.0745712096	5.07525211884563e-07	3.14909659518126e-06	5.0633016169
SEPT12	0.0971042951	6.5796537731	3.6396447376	0.000294698	0.0009376141	-0.9992381472
SEPT13	-0.2735983457	6.6642588631	-8.5481109247	8.91914240050548e-17	2.57651385148792e-15	27.0293615595
SEPT14	0.0640387609	6.3359263628	2.4315190766	0.015304755	0.0298061556	-4.6089456207
SEPT15	-0.1163116393	10.4549796119	-0.9441554259	0.3454409627	0.424781963	-7.103314031
7A5	0.1975316614	6.440659804	5.9694791152	3.91444144374469e-09	3.74636238762929e-08	9.7760929205
A1BG	0.0409878995	6.5275809409	1.3669601352	0.2282336935	0.0015888349	-4.4133033271
A1CF	0.0478222831	6.3811847265	1.6413443794	0.0796967106	1.34036417694745e-07	-1.2312496859
A26C3	0.089256811	6.3720421878	2.6821982002	0.0316595126	4.22407230584106e-07	0.7600970418
A2BP1	-0.0330866279	6.2632379932	-1.280749734	0.025521295	0.0024964501	-4.3948338864
A2LD1	0.3737882687	7.1403038997	4.8566351122	1.49737625924837e-06	8.3665654916077e-06	4.0220252347
A2M	-0.2241109076	6.5883099873	-1.2389214315	0.2158216913	0.286229026	-6.78254824
A2ML1	1.2238574622	6.1713088184	19.4858890466	5.94244919430537e-67	1.66075631891264e-64	141.6871039076
A3GALT2	0.1387632172	6.3846296098	4.300197296	0.0017204463	1.84552287245159e-07	2.4097942321
A4GALT	0.4364040087	7.3892615684	2.6954414771	0.0072113413	0.0155134987	-3.9399879754
A4GNT	-0.1579419179	6.4589905346	-5.4178707835	8.50297017948636e-08	6.2215923245131e-07	6.7888552334
AAA1	-0.0201334403	6.336359081	-0.7909121091	0.1746136491	0.0029742887	-4.8699402041
AAAS	-0.1748469715	6.7738158217	-4.5216167013	7.29340762097597e-06	3.46868326801245e-05	2.5044804067
AACS	0.2988225105	7.3786391835	4.3778057335	1.39668887930316e-05	6.22330306211012e-05	1.8842700668
AACSL	-0.0160482899	6.6991894458	-0.4967197176	0.6195546269	0.6871476948	-7.4249980283
AADAC	-0.0216390052	6.5450443601	-0.3259013301	0.7446038778	0.7964576899	-7.4951548161
AADACL1	0.289436369	7.6915731035	2.5682436119	0.1632402384	0.0001481934	-3.0542015897
AADACL2	0.1237972138	6.4202062061	4.392107788	1.31035449203585e-05	5.87129807545254e-05	1.9451051587
AADACL3	0.1142291247	6.3287768183	4.1842322609	3.25470138908535e-05	0.0001322688	1.0793291477
AADACL4	-0.1778233218	6.3840378215	-2.7908245921	0.0054116482	0.0120627474	-3.6816495991
AADAT	0.0053854087	6.6748407289	-0.4326459935	0.159947693	0.0558317258	-6.191898242
AAGAB	0.4854808643	7.9743866412	7.2211881466	1.44513217932752e-12	2.44613055777219e-11	17.4992125331
AAK1	0.2908951786	6.6995006454	5.3201312668	0.2526563124	1.48880090872161e-37	21.6797225843
AAMP	-0.3037414015	8.3856294727	-3.6067081626	0.0003338864	0.0010479617	-1.1160657605
AANAT	-0.0031572004	6.1359614274	-0.1364926861	0.8914740604	0.9168454696	-7.5388892632
AARS	0.2117908586	11.3366811387	1.8881579141	0.0594497595	0.0960284402	-5.7726191631
AARS2	0.1304620464	7.8260972086	1.9456713718	0.0521248315	0.0857389398	-5.6631225331
AARSD1	0.008147754	8.3813968678	0.1424933626	0.8867344692	0.9131839547	-7.5380532307
AASDH	0.0856659794	7.2962402662	1.5127310633	0.1308339197	0.1877741506	-6.4073876452
AASDHPPT	0.0522062134	8.3141561387	1.0215283424	0.5126017022	0.0679281212	-6.490688945
AASS	-0.0964589469	6.8830541186	-2.0534010318	0.2601715592	1.32689309749715e-05	-1.9068924505
AATF	0.0862991087	8.3572463109	1.4236445743	0.155029112	0.216664595	-6.5375945789
AATK	0.0082524112	6.780370605	0.7977997809	0.1390029338	6.43853716830064e-06	-3.0697472375
ABAT	0.0401491545	6.365177239	1.4186650951	0.422978543	0.0001950898	-4.7319368032
ABCA1	-0.6876789765	9.514343624	-3.5429046192	0.0004240794	0.0012927388	-1.3394760119
ABCA10	0.0442318986	6.4616235092	1.473112348	0.1478242556	0.1472717923	-6.4497096553
ABCA11	0.0071959593	6.6436221807	0.2356697299	0.8137631778	0.853993882	-7.5204572709
ABCA12	0.1318662396	6.1902917253	3.4065140918	0.020972255	2.62011608770852e-16	11.9533058521
ABCA13	-0.005119043	6.124378162	-0.1022898663	0.9185581394	0.9376968354	-7.5429678358
ABCA2	-0.2888170766	6.6421521343	-4.0404440571	0.4996054794	7.55913122070212e-14	7.9912465889
ABCA3	0.2754663354	6.9110546546	2.0978957472	0.036299775	0.0629188106	-5.3576521899
ABCA4	-0.0553654176	6.6314647419	-0.7558740221	0.4499985069	0.5292564241	-7.2629856404
ABCA5	-0.1237736434	6.3374634817	-3.0822674103	0.0074971731	0.0001546999	-2.5682693722
ABCA6	0.0161050637	6.6153843505	0.6085066853	0.1841935201	0.053400003	-6.1421551744
ABCA7	0.0954394355	6.5468384158	2.3422632608	0.0196384774	0.0319125751	-4.8185138311
ABCA8	-0.158766088	6.7083507417	0.0370146437	0.0285146755	0.0469951203	-5.1469665398
ABCA9	0.0099688405	6.5640076172	0.1986314016	0.0013451701	0.0015987131	-2.2025550122
ABCB1	0.1024644436	6.3361906243	1.5864140232	0.1830574687	0.0488073515	-6.0980648957
ABCB10	-0.2185465517	8.0254895629	-3.0556858993	0.0023374255	0.0058138367	-2.9183929933
ABCB11	0.1704692005	6.4908740079	5.2380798749	2.19452047893838e-07	1.47229256734003e-06	5.8722204958
ABCB4	0.1626818465	6.4122088899	3.06590649	0.0022600973	0.0056524214	-2.8875921027
ABCB5	-0.0787127358	6.1205318568	-3.6556908829	0.0002772108	0.0008879583	-0.9419523701
ABCB6	-0.2295895627	8.1359984761	-2.4831197295	0.0132748015	0.0264081437	-4.4834658383
ABCB7	0.4341820801	7.9314920302	6.82725032	1.98869399462548e-11	2.84457922653411e-10	14.9310102714
ABCB8	-0.0317365139	6.5083312106	-1.043857198	0.2969394387	0.3745225687	-7.0044786394
