gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
DEC1	0.0882071549	6.4091396969	2.686797181	0.0074010982	0.0245666422	-3.5639413453
MARCH1	0.1816252921	6.3769758562	4.9087512527	2.39692859755579e-06	3.96839840363486e-06	4.6698074088
SEPT1	-0.015483809	6.5551788627	-0.400157185	0.6897852291	0.7392001049	-7.0546388499
MARCH2	-0.0903178112	7.0882826747	-0.6978124114	0.3182436723	0.0447355751	-6.0149198963
SEPT2	-0.1058065959	9.389652892	-1.3362793199	0.0797511308	0.0060802057	-4.6131045605
MARCH3	-0.1183311899	7.4538142788	-0.5622260415	0.5780949797	0.5694495782	-6.9692186896
SEPT3	2.5744364118	6.5475865679	15.5781585295	3.0818296396108e-46	2.07379687112268e-44	95.1782965683
MARCH4	0.4390457502	7.4329387793	1.6038968758	0.1092292614	0.1985395541	-5.8587033961
SEPT4	0.3978080895	6.6696664492	2.2235250713	0.026025189	6.86126148783498e-11	3.5333767402
MARCH5	0.235151389	7.2913232777	3.6822971323	0.0007432383	0.0002853467	-0.3496334331
SEPT5	0.5151132136	7.1670333115	3.5881747357	0.3022809714	5.70636600240282e-08	2.2113806708
MARCH6	0.1295939099	8.842374559	0.9112957701	0.3624820568	0.4892573462	-6.7233537633
SEPT6	0.0398968354	6.8971993874	0.1574567189	0.2437749992	0.0654852407	-5.4970337539
MARCH7	-0.249173656	9.8668376871	-2.3675838295	0.0182005415	0.0497968464	-4.3588996623
SEPT7	-0.1774747711	7.3199715861	-1.008452968	0.313617496	0.4386929648	-6.6306634741
MARCH8	-0.0462043376	6.3688902259	-1.5457371493	0.2036286915	0.0002864095	-4.6401478788
SEPT8	0.1331832853	6.7759435709	2.750411831	0.0061199943	0.0211258979	-3.3937773676
MARCH9	0.2479464656	6.5359110481	5.4498089877	7.19883075548434e-08	1.14442267052265e-06	7.3105024636
SEPT9	-0.1321064857	12.6152152675	-1.1789056358	0.2388730749	0.3588490522	-6.4454603311
MARCH10	-0.0466881328	6.3209603744	-1.4367916355	0.2192577626	0.0983463102	-5.9417105913
SEPT10	-0.1639802003	6.8826138478	-2.6535200521	0.0496553843	0.0042290717	-3.3004694559
MARCH11	0.1851487343	6.3455847415	5.13205561	3.80394507934771e-07	5.20463876137519e-06	5.7076162774
SEPT11	-0.2229224759	9.6646177853	-0.795553332	0.4265861355	0.550765124	-6.8215587052
SEPT12	-0.0082496849	6.5760375947	-0.2486974204	0.8036744877	0.8637891346	-7.1056023274
SEPT13	-0.1219053946	6.671277515	-2.9533261855	0.0032588009	0.0127699681	-2.8250544945
SEPT14	0.0653794882	6.335088321	1.9282701065	0.0542627948	0.1162728456	-5.2913002765
SEPT15	-0.2069040766	10.4545762887	-1.3084032357	0.1912054289	0.3035672511	-6.285548842
7A5	0.0939705562	6.4357226212	2.2784600914	0.0230272643	0.0598536526	-4.5632411364
A1BG	0.0281452011	6.5267453156	0.8129466786	0.4694652653	0.3067823371	-6.6896862292
A1CF	0.0001872557	6.3794966433	-0.037659245	0.3351772878	0.0101128689	-4.1978572759
A26C3	0.0365131887	6.3696813498	0.6857500475	0.0962909976	0.0248244456	-5.1263717961
A2BP1	0.2070504977	6.2689309145	5.1282688516	0.0202292825	1.94742096862286e-20	15.5879401241
A2LD1	-0.0391444975	7.1262225955	-0.3950123818	0.6929651325	0.7797921513	-7.0587373272
A2M	1.5204922397	6.6294489445	6.2920592991	5.8048465328648e-10	1.34199073222583e-08	11.9784766317
A2ML1	0.0487995323	6.1290689173	1.5336245867	0.1256153288	0.2208344225	-5.9680083309
A3GALT2	0.1146059069	6.3822226199	2.8315332128	0.0060021945	0.0093321971	-3.1434069731
A4GALT	-0.8311719123	7.3556660597	-4.0681388061	5.32978247970944e-05	0.0004083227	0.9948239396
A4GNT	-0.1453586273	6.4614044892	-3.9086019142	0.0001027089	0.0007175038	0.3769272466
AAA1	-0.0071326224	6.3369157124	-0.241196528	0.4319495324	0.1438085195	-6.4550829554
AAAS	0.0002164206	6.7800074414	0.0044172261	0.996476949	0.9977655879	-7.1363723957
AACS	0.2090043015	7.3726303004	2.43197135	0.0152896248	0.0434817117	-4.2064809867
AACSL	-0.0497970986	6.6986696962	-1.2277951154	0.2199744683	0.3373032307	-6.3870357994
AADAC	-0.0342494272	6.5450620106	-0.402912888	0.6871466265	0.775517272	-7.0556007739
AADACL1	-0.1465847999	7.6781299688	-1.4448742212	0.4422870315	0.0102218295	-4.85057947
AADACL2	0.0775842942	6.4175201981	2.2547600433	0.0244849904	0.062785742	-4.6162821884
AADACL3	0.1096245792	6.3271291612	3.1537237908	0.0016873388	0.0074515849	-2.2247774877
AADACL4	-0.2048313289	6.3858563362	-2.5176570119	0.012056407	0.0361684552	-3.9974220797
AADAT	0.1810080269	6.6786035418	2.1978490269	0.3541410676	1.0744324465665e-06	-1.4115165224
AAGAB	0.2400398696	7.962450768	2.8066133073	0.0051585954	0.0184594	-3.2402086254
AAK1	0.0225739104	6.6897004653	0.9250440264	0.2426730014	2.01370726105929e-07	-0.5259466279
AAMP	-0.4210542331	8.3871810531	-3.9086063024	0.0001027071	0.0007175038	0.3769439188
AANAT	-0.0465322977	6.1350568377	-1.5831966902	0.1138697727	0.2049768746	-5.891406243
AARS	0.0227331042	11.3296835115	0.1611719222	0.8720087679	0.9137992527	-7.1234546246
AARS2	0.1172260621	7.8240411789	1.415586044	0.1573823145	0.2621521459	-6.1406683093
