gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
01-Dec	0.0144207442832114	6.41014496605554	1.31126199317203	0.190151648551601	0.252966017315175	-6.53986710568245
01-Mar	0.0225963987466131	6.37760293224273	1.85566553639108	0.0782674200020504	0.0497560780257546	-5.62930232317311
01-Sep	-0.029808909785348	6.54945678143637	-2.23744287839357	0.309978800854996	0.000249444473148244	-3.42659669977244
02-Mar	-0.0308580989812652	7.08398172939427	-0.477280800815901	0.250248148178557	0.00813429415813808	-5.1098878525132
02-Sep	-0.0744372514825025	9.37683043293333	-3.08612246880313	0.0634591024202029	1.7217401235919e-09	2.79769787786383
03-Mar	0.179696908316155	7.49293177901766	2.58195131301491	0.0128306805674152	0.00904356753128003	-4.05143267837514
03-Sep	-0.0759713175587318	6.47591337879287	-1.75873122133219	0.350338674524207	0.00426350865314103	-4.93031885197726
04-Mar	0.244914224590939	7.47314160088648	2.71571698491047	0.00675824415847419	0.0137461190236809	-3.73511102294626
04-Sep	0.0103038577589521	6.66307278520913	-0.446271834603258	0.184758303376899	0.000639955661054361	-4.66841289797016
05-Mar	0.00512308532307504	7.28722890801294	0.167534851091859	0.483051211771071	0.45519807834899	-7.13005938450979
05-Sep	0.0353060918478884	7.16296064748776	-1.94619160453365	0.232466762223427	1.94849539018832e-13	3.51301859671199
06-Mar	-0.127873342968417	8.81354699294102	-2.59539349717141	0.00962426884232527	0.0187913948611767	-4.05102064676656
06-Sep	-0.0177961038665737	6.89270999220415	-0.161387498329211	0.0188205134046134	0.000316646038564658	-3.27084204030429
07-Mar	-0.13254785015266	9.84533239111041	-3.90559032301404	0.000102063967295919	0.000326487181805184	0.138747123206009
07-Sep	0.0846635815737571	7.34106020825667	1.38333064845526	0.16695572672608	0.226587912100212	-6.44322824381388
08-Mar	-0.00131495748340917	6.36963203331914	-0.31013574986799	0.247856998919344	0.0047873056173847	-5.3187601446439
08-Sep	0.0146085655874737	6.77600470677304	0.880329574194763	0.378949499510915	0.45460272310584	-7.01018962889036
09-Mar	-0.0322147425704937	6.52394630479228	-2.26382893452603	0.0238560581060077	0.0417421361243601	-4.84861140799487
09-Sep	-0.313114249753021	12.5544433078393	-7.75690200887996	2.69684807086615e-14	4.17212025008448e-13	21.5195283827985
10-Mar	-0.0133736327925562	6.3192611751419	-1.28623601480931	0.322857408106784	0.0657402116444383	-6.27872835316339
10-Sep	0.0121873684361612	6.88867305555716	0.322094273729806	0.598761806438223	0.212276488309806	-7.02414429499301
11-Mar	0.024321312827392	6.34648554391564	2.29184984833952	0.02217750873449	0.039157604300512	-4.78535735305889
11-Sep	0.0943744191987594	9.68867327413238	1.02811300413125	0.304212505386074	0.378012650404884	-6.86967713425569
12-Sep	0.0323636963374652	6.5827974337046	2.72751094217926	0.00652354286981976	0.0133330500361096	-3.70338978011965
13-Sep	-0.113235093727126	6.65091892347814	-8.13684832943646	1.578995961397e-15	2.77034020255355e-14	24.3069507628189
14-Sep	0.0452628885118065	6.34286248791908	4.13178070006105	3.98523793325598e-05	0.000139903948881829	1.02722165383422
15-Sep	0.0848315100176311	10.4763418130992	1.60614747958941	0.108642589486755	0.156532691011529	-6.11193081740282
