gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
7A5	-2.12605478888202	8.54180923891945	-14.0203371602953	4.34202005774876e-39	2.0982858804673e-38	76.9553343067086
A1BG	-0.556455076840071	7.07466507121026	-1.98023092669883	0.0288942007119836	0.0407052949684587	0.524834431402657
A1CF	0.00545360532121375	6.34107304407127	0.20758701495887	0.0976497131589545	0.124933898661659	-4.16632624676655
A26C3	-1.03771179583476	7.39996325392515	-4.86649560322735	0.0210436945592314	0.0303234364368341	35.0463915749462
A2BP1	-1.22577527494569	7.46861921769968	-10.1973167849428	0.0314859872817579	0.0440753183294586	64.8474699113393
A2LD1	-1.56596055675345	8.19252026341287	-7.1878847392307	1.85949457863394e-12	5.34790299466874e-12	16.1141105838235
A2M	-2.24388737685661	8.33766343018107	-11.7370051705746	6.39849915179019e-29	2.67249496697139e-28	53.6511249900854
A2ML1	-1.02147183488407	7.31839687345383	-6.10973994965063	1.74322158486894e-09	4.42857995299849e-09	9.40736107609802
A3GALT2	-0.0532125936158638	6.47253315563083	-0.869330762010276	0.395173032246189	0.434179031256429	-7.67049376405491
A4GALT	0.406435249058571	6.28767749767669	6.39985559502756	3.02760699637455e-10	7.96599526613487e-10	11.1185809770161
A4GNT	-0.235105871891144	6.6133832824748	-4.5835511431646	5.50898524397243e-06	1.13766917310111e-05	1.59602495360041
AAA1	-1.458956862601	7.77009790428888	-8.45490564213096	0.118283634386591	0.148632475131113	55.291006502972
AAAS	0.655987712711351	6.38425337006869	12.9163305547429	4.82176720234865e-34	2.17107707311959e-33	65.3858981501415
AACS	1.16922477242733	6.95908965716074	4.34942706507056	1.5905878898254e-05	3.16662309802332e-05	0.58093025617897
AACSL	-0.712496990259834	7.33126972500762	-1.57845916469721	0.114959602495108	0.144879708184118	-7.50669343777097
AADAC	-7.47965624479914	13.9279098575014	-110.911305917125	0	0	946.349084264475
AADACL1	-2.94346404107334	9.87266262883387	-23.0374466363902	1.02284550159212e-30	4.39099067637861e-30	316.83282052895
AADACL2	-5.78525118283385	12.1436310752166	-49.1334806940207	3.29944553819924e-218	6.9854612495902e-217	489.171862179758
AADACL3	-0.167919611184456	6.53227273493818	-2.94556990150262	0.00334197985018304	0.00533674429852387	-4.43719762719233
AADACL4	-0.700651074362936	6.84650107845674	-6.55976025490253	1.12072725940364e-10	3.00786877483115e-10	12.0915652395597
AADAT	-0.0217613243365986	6.91584835532969	6.87515171327771	0.00262208354196419	0.00423769164967536	96.0305944875239
AAGAB	1.77900336747239	6.39780123611399	31.0745783549912	1.80683277675136e-129	1.96785881914241e-128	284.834310835413
AAK1	0.185215279307943	6.37481202603489	5.62819582442553	0.00398106146681107	0.00630426946990742	58.5369309319674
AAMP	2.21517617983374	6.29621819445984	37.7545099810682	2.98856606242746e-164	4.1564016422593e-163	364.923499175603
AANAT	-0.855361590978132	6.94704326403005	-5.20109145158805	2.67858347407048e-07	6.03601111661448e-07	4.51063578534946
AARS	5.24364650221304	6.81012567069144	67.1371358520977	3.989514308765e-290	1.60265950449798e-288	654.72220315212
AARS2	-1.82604099444004	9.61348551713672	-9.21968298135671	4.36102231384966e-19	1.51360515266023e-18	31.1813390319134
AARSD1	2.16509549722315	6.59796187274365	28.0903300160296	2.31545027518382e-113	2.22894989009554e-112	247.750313210086
AASDH	0.509834505537855	6.68538711667569	9.73717301347679	5.67481968306458e-21	2.06425354015725e-20	35.482080333715
AASDHPPT	0.0258234136926063	8.09207601623079	15.4851738400739	1.26923739168107e-11	3.53702280602407e-11	189.285851493216
AASS	1.6975561586618	7.82556775400504	27.8385416033465	0.300913837199633	0.34100783405954	269.94634182288
AATF	1.99456379172352	6.67136499775028	34.513901759803	1.23942464802783e-147	1.53867400639081e-146	326.657283440373
AATK	0.250777587008418	6.36982400273585	3.98804865821073	0.31899095981137	0.358870556323764	5.26396041594972
ABAT	-0.113583474611669	6.50861120617295	-1.93124532715537	0.172838204530462	0.208842831280175	-6.26588989958182
ABCA1	0.785363873565819	6.16369287393871	16.2381230438372	7.91306678760786e-50	4.35225618260321e-49	101.607536115381
ABCA10	0.13122944755302	6.36584843143318	2.42138480097366	0.018643718647172	0.0270805803861713	-5.80265909649282
ABCA11	0.435803058604662	6.29320108869555	3.2103382282307	0.0013928551266939	0.002315685389708	-3.63322047920082
ABCA12	-0.31790845652974	6.39998862668961	-5.49677327875099	2.13087274907111e-06	4.53622981991943e-06	6.34543176466526
ABCA13	-0.251433003090489	6.2694195323893	-4.59933707465385	5.12010882287314e-06	1.06022660491612e-05	1.66626264875524
ABCA2	-0.17444254726636	6.50158563435704	-2.14127397345699	0.0692869454434383	0.0912660647605808	-6.2657915694618
ABCA3	0.799527796083433	6.2099794861991	16.4485866432291	6.97975787619094e-51	3.8784134295543e-50	104.029635472191
ABCA4	0.136393162787322	6.31541680380957	3.08773180950233	0.00210510258180232	0.00343655748141054	-4.01386209524451
ABCA5	-1.17005538446479	7.29572763938155	-6.55644003618014	0.0319670015464494	0.0446907610072924	20.6667146312022
ABCA6	-1.34480903734369	7.71335830638109	-3.67221901923168	0.00160464016879801	0.00265118877137447	-1.83250236349861
ABCA7	-1.07331249313084	7.79844357812989	-6.18829799755044	0.06168082011969	0.0820020712643882	21.1209153222396
ABCA8	-0.804419044743436	7.21961364063596	-2.10420943825105	0.392159423157758	0.431276265801811	-3.78174489698751
ABCA9	0.148245554391202	6.27332258557851	4.30345085284788	0.00956095549286675	0.014463524328368	20.1392414819536
ABCB1	-0.294907892684674	6.51661217165952	-4.39574528877982	0.106194672387655	0.134820463700611	5.27764753719093
ABCB10	1.03144005598496	6.53102125050156	17.2395017867973	6.83739104849314e-55	3.97408293662556e-54	113.239729106107
ABCB11	0.205803559729724	6.32474505979363	4.11453247356007	4.39232609637774e-05	8.42438305098244e-05	-0.38705687710983
ABCB4	0.147331448789426	6.32030598298688	2.83808032831099	0.00468397726097264	0.00735973039290526	-4.74439348131383
ABCB5	-0.339254228578436	6.35700923441355	-5.97999842896834	3.73021022091252e-09	9.32374019320939e-09	8.66490810288214
ABCB6	2.06697474381359	6.42098414647298	31.212805570517	3.29412698621531e-130	3.60776564089726e-129	286.536214487174
ABCB7	2.112737708918	6.41496278439889	33.0764421249161	4.20785531362828e-140	4.94186425776719e-139	309.316551547551
ABCB8	0.14477515480513	6.42167167137932	2.28646288815238	0.0225564965508344	0.0323323542051164	-6.14497996389213
ABCB9	0.1703892592175	6.66279749708895	4.55470908681015	4.63336795349544e-07	1.03024376564594e-06	32.7604043776043
ABCC1	-1.6343622932949	8.26401041101839	-11.6775498896808	5.69171340567494e-06	1.17339395916454e-05	67.1618268734489
ABCC10	-0.873083548032018	7.48751938776283	-7.77815221984447	2.99792806662843e-14	9.18161255397666e-14	20.1770688782854
ABCC11	0.0627991867565791	6.24696384489685	1.82639545553524	0.164156071071404	0.199328282540259	4.42274255194392
ABCC12	-0.155123320832402	6.35251094621937	-3.00840679112859	0.00273047587200794	0.00440287829217254	-4.25247003972915
ABCC13	-1.37170819085314	7.74762335378955	-7.20761669689879	1.6667892027145e-09	4.24059539443457e-09	59.638141524106
ABCC2	-1.36940397717433	7.72106638607473	-4.88378260055432	1.31945868532229e-06	2.84776955819594e-06	2.97041721151676
ABCC3	-2.22428313374003	8.77665877600457	-3.81770249347364	0.252468797513569	0.292193887171832	3.07146350056738
ABCC4	1.11058458432207	6.265381635964	24.0578425532839	6.11788140235645e-60	3.74263365602181e-59	197.576649492391
ABCC5	0.459407233672639	6.72964013922323	8.28035703707957	0.0326907448346875	0.0456130292848599	82.4553951891646
ABCC6	-0.937077205752527	7.27785138594713	-3.82538594680182	0.156845246297131	0.191357425893167	16.3430686893741
ABCC6P1	0.218461965505999	6.27573929846247	4.24230153821276	2.54297008255194e-05	4.98040031043706e-05	0.133175518361558
ABCC6P2	0.119630592708851	6.49526676143889	1.58468835860373	0.113536459259593	0.143247490011681	-7.49686719794936
ABCC8	-0.207784075842581	6.59179835789141	-3.33385157645193	0.000906482876618073	0.00153608428186419	-3.23526738940204
ABCC9	-0.0353538550900196	6.46208204528854	0.184720303553589	0.0163830437570088	0.0239971154208168	-2.65688125586895
ABCD1	-3.29022923222127	9.51285982183357	-26.3673404222789	5.76761498213578e-104	5.16349851000693e-103	226.120794002829
