SYMBOL	SPT1657_SPT1663	SPT1658_SPT1664	SPT1659_SPT1665	SPT1660_SPT1666	SPT1661_SPT1667	SPT1662_SPT1668
A1BG	6488.62425902305	6502.71287834161	5874.43536153479	5638.31796506526	6634.942956015	5825.2863087426
A1CF	4725.59478505967	4671.35111982631	3953.27394953206	3904.56692788212	5247.59924881969	4458.1538491584
A2M	7200.19647061142	6788.22386643457	6299.46351932127	5991.05287796497	7833.80566958244	6564.83986783196
A2ML1	1930.98436748074	1728.18644817641	1715.47509468036	1897.87705064033	2171.1362544675	1663.99550795106
A4GALT	6116.9370982213	6217.20189024865	5088.38931068872	5325.48108858609	6700.85980624551	5874.76348347041
AAAS	1470.84758819943	1540.51411643929	1299.83510905383	1172.45820663065	1641.7415510537	1433.53603619258
AACS	3364.06695003722	3129.94756105651	2821.57246916083	2509.04242671849	3702.67307154205	2923.05940168242
AADAT	3535.00329136851	3347.86093203089	3286.71372617616	3134.71617967684	3869.52509868804	3330.5950777299
AAED1	7290.63372096693	7040.82548829875	6354.08561188821	6206.86498405785	7807.02694917629	7148.14971725456
AAK1	7394.98439445405	6862.93702219722	6430.89792956046	6452.60061746613	7251.8834761412	6340.89055064293
AAMP	2982.44162985575	2976.07403787868	2644.90413851465	2553.47433091408	3293.78260995591	2684.7877444406
AANAT	1732.22117988623	1850.92948978647	1743.63961116019	1590.48081549123	2057.8416681338	1585.87365311768
AARS	1173.69662274563	1002.40150648215	1053.18222230625	898.612593016995	1241.09069574636	871.058681392222
AASDH	6492.59952277494	6030.41900084203	6178.27075143838	6226.81400226812	6432.0426513992	5708.10352649253
AASDHPPT	7225.04186906074	7139.5535869851	6910.54817991388	6431.74482570085	7112.84012018621	5704.19743375086
AATK	2384.16443519625	2404.16261936224	2374.35408626904	2528.08467137375	2333.86847847407	2091.06164770689
ABAT	4282.3528767239	4439.2066715638	3882.43592323431	3627.09422004842	4500.88492980216	4192.53954272489
ABCA1	6043.39471881133	6102.46382961316	5150.69263502288	5090.62673783795	7093.27105527403	5975.01986383992
ABCA10	7710.02404679136	7162.6790875783	6499.17554526913	6410.88903393557	8148.97060974708	6541.40331138195
ABCA12	3748.67371803261	3760.56217338645	3608.47199020327	3012.30174975021	3853.04588613041	3673.0292080829
ABCA13	5203.62025122449	4963.08820423282	4815.27884785403	5222.10890331471	4974.66229083397	4617.00162065294
ABCA2	4363.84578363765	4821.6668736821	3967.78294287015	3768.5508946303	4957.15312749149	4395.65636529169
ABCA3	2796.59804945487	2779.50728283648	2498.96073493736	2277.8151701904	3072.34319121278	2476.46279821824
