SYMBOL	Unsorted_rep1	Unsorted_rep2	Negative_rep1	Negative_rep2	Positive_rep1	Positive_rep2
A1BG	995.374817	1010.013496	985.6396609	922.9731688	959.8645429	952.3458292
A1CF	873.2926463	842.4473542	794.1234326	826.3559337	887.1517317	904.7122561
A2M	1106.118469	1099.099497	1114.83382	1102.672929	1191.656878	1183.052472
A2ML1	292.7757911	265.158463	284.0823099	336.0432236	276.6808889	286.9203858
A4GALT	506.9839909	492.9948431	463.7475822	512.8575099	499.7368491	480.3273498
A4GNT	897.8121332	897.9587499	800.5339955	911.2109537	851.408545	792.5116313
AAAS	279.859077	300.5377564	267.7745367	258.6871846	301.2579317	303.7711767
AACS	554.4775246	512.7718405	533.9941799	435.2007286	546.6435175	528.9109442
AADAC	1105.608197	1094.815709	1249.978096	1165.106781	1053.008821	1047.287638
AADACL2	2046.155078	1979.362682	2146.712224	2247.801185	2080.893168	2106.105944
AADACL3	665.9206015	620.4965847	789.2723272	650.3896431	702.2875666	573.0026916
AADACL4	1123.369378	1065.477447	1212.436662	1248.896616	1149.820328	1178.508371
AADAT	523.3885082	482.3307743	521.6416584	491.6415099	522.9996099	507.8797919
AAED1	1020.213093	1041.149223	1054.711479	1016.596014	1083.22943	1126.108796
AAGAB	327.2364003	364.0473242	348.3866419	354.4728436	381.428729	377.5300669
AAK1	1016.769289	1018.414753	1007.856849	1072.228463	973.933037	1073.320098
AAMDC	1306.758428	1289.260046	1488.288974	1349.40049	1227.586605	1101.314987
AAMP	256.219392	263.3905016	233.0049877	254.4523132	309.8967741	287.8647246
AANAT	235.5535308	266.858604	277.7432562	259.0227241	285.4122797	237.8536632
AAR2	1162.199352	1184.019774	1213.472334	1141.396872	1231.023461	1139.96344
AARD	948.0080767	945.4502299	1009.972856	900.9549932	880.7459453	986.3884875
AARS	179.4016298	167.2656345	191.3212783	179.4720473	182.5528614	125.1732827
AARS2	671.359503	665.043864	700.0113467	644.6450302	685.0700394	636.3206152
AARSD1	793.5950713	847.6383843	1038.05764	912.5697648	760.071288	808.3899213
AASDH	979.8237032	993.1036521	1085.350543	1096.127808	965.7271549	973.0529084
AASDHPPT	1009.43531	1030.138174	1090.0931	1044.802676	993.0238486	868.5755042
AASS	564.8442653	545.3818638	521.5672939	518.4373361	574.5492214	532.9247203
AATF	173.0541221	228.9781928	210.2018964	195.5342021	163.3576189	230.8192806
AATK	330.0539647	382.1258332	392.2051419	435.4229068	329.5577207	323.8791445
ABAT	332.1469157	215.4115413	207.9439174	369.0985007	310.9694173	0
ABCA1	836.2764402	885.6109864	755.1245772	837.9709396	917.936289	904.6873679
ABCA10	1046.914974	1039.894276	1046.163016	1033.082757	1114.57772	1007.909501
ABCA12	621.1038228	653.4842603	679.3981443	579.9647044	625.2192789	681.2816362
ABCA13	637.2467901	626.5093847	658.7338377	772.229873	603.8621735	615.9323428
ABCA2	561.568956	612.2788033	575.9890137	544.3079159	611.3723095	664.9717504
ABCA3	445.3295425	485.7405647	470.2514549	429.7356749	484.7698147	458.8670417
ABCA4	783.7496194	693.8399044	709.3034312	730.6672759	864.9171249	800.4014078
ABCA5	543.9676302	524.4652787	575.9895591	504.7007829	525.049468	614.353876
ABCA6	480.884763	446.2529601	453.2321866	445.4136895	476.296674	424.5309701
ABCA7	197.6470639	231.7545795	173.4727882	195.7037712	191.8046447	219.0560523
ABCA8	652.9966682	668.1748689	605.8525224	680.2310356	608.9693351	664.1310758
ABCA9	790.5659971	788.4320332	820.6680379	830.3691604	829.6906176	816.667246
ABCB1	560.3051106	540.6033419	585.4584555	561.6332629	569.4300937	602.5915148
ABCB10	358.1882386	357.8980376	304.3393841	303.8176955	335.8933567	386.1999977
ABCB11	751.2627775	693.58408	690.4479283	686.1181029	668.0612017	610.476199
ABCB4	969.4899198	1012.206248	942.8895494	985.1358356	1035.289703	1023.512405
ABCB5	1109.23652	1203.910086	1179.813526	1123.365676	1089.825387	1146.606582
ABCB6	354.6781368	328.9518372	345.9035537	330.1401318	321.1440705	400.7473621
ABCB7	1059.146947	1088.90308	1169.230573	1109.24906	1009.514382	983.1216318
ABCB8	811.4432018	797.3733824	755.5522298	739.2066326	831.6240448	760.5504685
ABCB9	361.9400448	345.2645271	304.065047	275.8830735	389.9698416	296.1942218
ABCC1	492.8230374	566.3920431	541.8968562	567.3496143	536.661287	573.4482014
ABCC10	538.0726014	540.5398426	568.0606727	624.9054137	654.8567776	657.7690028
ABCC11	1149.077829	1264.257285	1178.409007	1183.331684	1363.18182	1334.067673
ABCC12	501.6349881	525.1259157	479.4578601	481.5214131	582.3847689	562.9963494
ABCC2	288.8553495	316.2386956	323.2496095	287.2000402	324.0061988	341.0732362
ABCC3	165.8329313	153.3947851	203.1668621	188.3648407	173.0844907	208.5945908
ABCC4	497.5275435	468.5182829	440.2561836	399.0148459	498.83561	426.4871969
ABCC5	1260.64307	1262.056437	1196.553936	1112.667763	1161.510632	1153.718743
ABCC6	667.4317987	671.3320167	676.9422435	669.5543441	617.4256269	618.9269856
ABCC8	697.2760084	614.6858576	706.7756572	634.7459094	630.322295	584.6212964
ABCC9	1504.040624	1404.745761	1338.545677	1364.461091	1458.256447	1445.203834
