gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
DEC1	0.0144207443	6.4101449661	1.3112619932	0.1901516486	0.2529660173	-6.5398671057
MARCH1	0.0225963987	6.3776029322	1.8556655364	0.07826742	0.049756078	-5.6293023232
SEPT1	-0.0298089098	6.5494567814	-2.2374428784	0.3099788009	0.0002494445	-3.4265966998
MARCH2	-0.030858099	7.0839817294	-0.4772808008	0.2502481482	0.0081342942	-5.1098878525
SEPT2	-0.0744372515	9.3768304329	-3.0861224688	0.0634591024	1.7217401235919e-09	2.7976978779
MARCH3	0.1796969083	7.492931779	2.581951313	0.0128306806	0.0090435675	-4.0514326784
SEPT3	-0.0759713176	6.4759133788	-1.7587312213	0.3503386745	0.0042635087	-4.930318852
MARCH4	0.2449142246	7.4731416009	2.7157169849	0.0067582442	0.013746119	-3.7351110229
SEPT4	0.0103038578	6.6630727852	-0.4462718346	0.1847583034	0.0006399557	-4.668412898
MARCH5	0.0051230853	7.287228908	0.1675348511	0.4830512118	0.4551980783	-7.1300593845
SEPT5	0.0353060918	7.1629606475	-1.9461916045	0.2324667622	1.94849539018832e-13	3.5130185967
MARCH6	-0.127873343	8.8135469929	-2.5953934972	0.0096242688	0.0187913949	-4.0510206468
SEPT6	-0.0177961039	6.8927099922	-0.1613874983	0.0188205134	0.000316646	-3.2708420403
MARCH7	-0.1325478502	9.8453323911	-3.905590323	0.000102064	0.0003264872	0.1387471232
SEPT7	0.0846635816	7.3410602083	1.3833306485	0.1669557267	0.2265879121	-6.4432282438
MARCH8	-0.0013149575	6.3696320333	-0.3101357499	0.2478569989	0.0047873056	-5.3187601446
SEPT8	0.0146085656	6.7760047068	0.8803295742	0.3789494995	0.4546027231	-7.0101896289
MARCH9	-0.0322147426	6.5239463048	-2.2638289345	0.0238560581	0.0417421361	-4.848611408
SEPT9	-0.3131142498	12.5544433078	-7.7569020089	2.69684807086615e-14	4.17212025008448e-13	21.5195283828
MARCH10	-0.0133736328	6.3192611751	-1.2862360148	0.3228574081	0.0657402116	-6.2787283532
SEPT10	0.0121873684	6.8886730556	0.3220942737	0.5987618064	0.2122764883	-7.024144295
MARCH11	0.0243213128	6.3464855439	2.2918498483	0.0221775087	0.0391576043	-4.7853573531
SEPT11	0.0943744192	9.6886732741	1.0281130041	0.3042125054	0.3780126504	-6.8696771343
SEPT12	0.0323636963	6.5827974337	2.7275109422	0.0065235429	0.01333305	-3.7033897801
SEPT13	-0.1132350937	6.6509189235	-8.1368483294	1.578995961397e-15	2.77034020255355e-14	24.3069507628
SEPT14	0.0452628885	6.3428624879	4.1317807001	3.98523793325598e-05	0.0001399039	1.0272216538
SEPT15	0.08483151	10.4763418131	1.6061474796	0.1086425895	0.156532691	-6.1119308174
7A5	0.0767625154	6.4492763244	5.2234647245	2.25013446550099e-07	1.26851397636759e-06	5.9812918277
A1BG	0.0082444383	6.5278067245	-0.2535509498	0.0025396833	0.0020273506	-2.5475817031
A1CF	0.0344619477	6.3864987944	1.3818855584	0.0333903689	2.27055606045629e-07	-0.3132391104
A26C3	0.0388264237	6.3767774249	2.8342068518	0.3076708639	2.39769864624337e-06	-1.1254138981
A2BP1	0.0161020421	6.2676823553	1.047671431	0.2111443155	1.23523960381476e-05	-3.71938358
A2LD1	0.3128403433	7.1906791401	9.6309086557	7.89694218770269e-21	2.4156766610582e-19	36.3299077692
A2M	0.5173322819	6.7014156248	6.3997745837	2.67050321140821e-10	2.47217830611566e-09	12.5167616571
A2ML1	0.0295390396	6.1340084885	2.0761813199	0.0382012236	0.062998673	-5.2523925648
A3GALT2	0.0420475926	6.3882679573	3.1192725022	0.0082941452	0.0004217766	-2.3273675117
A4GALT	0.7419281729	7.5246563118	11.2039106453	3.89207598200757e-27	2.17289173411583e-25	50.6804540387
A4GNT	-0.0607746833	6.4522235315	-4.9498481456	9.08866568939825e-07	4.5305199913031e-06	4.6372492637
AAA1	-0.005560939	6.3359409357	-0.5304282479	0.2725271778	0.0217568142	-5.7946354612
AAAS	-0.0724450615	6.7652743666	-4.4008812955	1.22675590169558e-05	4.82077610391746e-05	2.1465080484
AACS	0.065231811	7.3813273314	2.1510108036	0.0317791125	0.0536018592	-5.0955102224
AACSL	-0.0208646496	6.6955154482	-1.5479535748	0.1220354292	0.1731459448	-6.2031937769
AADAC	0.3054804514	6.6079153494	7.9287790789	7.57393605017226e-15	1.24037646874371e-13	22.7664292187
AADACL1	0.1402032168	7.7098353395	2.8589337235	0.0878140571	5.6391039848297e-05	-2.2496381683
AADACL2	0.039230358	6.4238013657	3.1709228838	0.001578433	0.0037749238	-2.413228094
AADACL3	0.0471045767	6.3343113987	4.0930564822	4.69659771652776e-05	0.0001621172	0.871711075
AADACL4	-0.1253311482	6.3648497471	-4.9346116142	9.80450924098707e-07	4.85456311941567e-06	4.5643984797
AADAT	-0.015582742	6.6714821394	-0.553616434	0.368019912	0.1591154273	-6.6528369438
AAGAB	0.0962146319	7.9767688768	3.2765957504	0.0010966962	0.0027282237	-2.0778352157
AAK1	0.0246283137	6.6942144583	1.0671854759	0.0600334146	0.0057753415	-4.9074742144
AAMP	-0.0627359689	8.3836227918	-1.7699906549	0.0771157774	0.1162397167	-5.8370232336
AANAT	-0.0330100313	6.1293620828	-3.4757937644	0.0005372379	0.0014434087	-1.416552995
AARS	-0.0258831597	11.3239248589	-0.5616660801	0.5745034348	0.6423802977	-7.2392297266
AARS2	-0.0715558324	7.8069332949	-2.4924423569	0.0128913812	0.0242869096	-4.3101464189
AARSD1	0.0586331879	8.3930289058	2.2217502717	0.0265838465	0.0459280729	-4.9421563891
AASDH	-0.0606151701	7.2808857211	-2.5247028001	0.0117750794	0.0224045754	-4.2300574402
AASDHPPT	-0.0662064074	8.2988488353	-2.7320752848	0.3849995454	1.61893798609353e-06	-0.8160935337
AASS	0.1509618404	6.9171583798	5.4869111331	0.0001960264	4.36959222762122e-12	8.9864703829
AATF	-0.0661041676	8.3407534293	-2.4693236457	0.0137480803	0.0257009927	-4.3669167777
AATK	-0.0243995681	6.7751180745	-0.5099376365	0.0185274352	0.0001197522	-1.5659095439
ABAT	-0.018118738	6.3600729704	-0.5711771486	0.1996776835	0.0022261332	-4.6998075086
ABCA1	-0.1837380273	9.5013222621	-2.2784401304	0.0229675065	0.0403548342	-4.8157240899
ABCA10	0.046541861	6.4695205123	3.6163789239	0.0007016632	0.0002192249	-0.8522710627
ABCA11	0.001384321	6.643648992	0.106614655	0.9151218583	0.9331804842	-7.3908809841
ABCA12	-0.0408517681	6.1773203742	-3.9890667788	0.0004082095	1.96818441041442e-05	0.6457393532
ABCA13	0.0253225301	6.129707461	1.0890382375	0.2764703404	0.3482868518	-6.8054312188
ABCA2	-0.1395169656	6.6240075023	-4.4116903441	0.4982859548	1.65348631122393e-16	11.097571464
ABCA3	-0.0159651854	6.8980616033	-0.2961469674	0.7671959638	0.8123807857	-7.3528076428
ABCA4	-0.0369823671	6.6259051744	-1.2226312102	0.2218349806	0.2884770917	-6.6516565683
ABCA5	-0.0057150485	6.3406812741	-0.3311247403	0.7453869607	0.6228669923	-7.3246997565
ABCA6	0.5545353011	6.7275535491	13.8849442618	1.63711250885597e-38	2.33900339149904e-38	78.5926883143
ABCA7	-0.0361482354	6.5361122586	-0.0294022894	0.0013990188	3.38842662154057e-09	2.3764828914
ABCA8	0.6422484045	6.844540086	11.5354156913	5.02911893300874e-19	8.16505294106029e-38	55.760180916
ABCA9	0.4474709493	6.6546273665	13.8122310552	6.58753649381006e-29	4.25161077898533e-48	79.0238387364
ABCB1	0.0387296878	6.3404388476	1.4621144174	0.1487381991	0.1542601184	-6.3202284804
ABCB10	-0.0203707585	8.0290812983	-0.6165739008	0.5376940981	0.6084582382	-7.2069750667
ABCB11	0.0784623598	6.5007937077	5.3979284654	8.9297412176806e-08	5.38922319770346e-07	6.8734734527
ABCB4	0.0953964085	6.4258468967	4.4321573076	1.06530326188359e-05	4.24136713833126e-05	2.2809601368
ABCB5	-0.0294737028	6.1173249643	-3.2786677304	0.0010887851	0.0027109709	-2.0711520296
ABCB6	0.1594911795	8.1765475589	3.8983326562	0.0001051111	0.0003350544	0.1110346285
ABCB7	0.1334304564	7.9432555678	4.3753903114	1.3753981990913e-05	5.34838072956372e-05	2.0375955217
ABCB8	0.0219571401	6.5139181624	1.7215922142	0.0855363218	0.1271869417	-5.920985835
ABCB9	-0.0250699041	7.3423355276	-0.36490251	0.1223359244	0.1056251304	-6.1346576142
ABCC1	-0.0173604069	6.7265331375	0.2410342642	0.0095605029	0.0080778409	-3.8311504524
ABCC10	-0.2109592009	7.0255751973	-8.5556508338	6.08671632650513e-17	1.24343295336143e-15	27.5092161897
ABCC11	0.0137213296	6.3502522928	1.0153998549	0.076007183	0.0116281092	-5.2542256886
ABCC12	0.0208738541	6.2369371376	1.8487729275	0.0648654448	0.1001516212	-5.6954126711
ABCC13	0.0230598062	6.3992615834	1.7983072832	0.2073994922	0.0047403363	-5.2877465881
ABCC2	0.0721376426	6.2590415327	3.7246706216	0.0002095326	0.0006226131	-0.5372592034
ABCC3	0.5435610831	7.0277220482	8.1367416334	0.0039566904	6.3365788843187e-36	35.8374540498
ABCC4	-0.133788789	7.8970368276	-1.6565979813	0.2299935785	0.0207302066	-5.6309510926
ABCC5	-0.2346703473	7.2209944035	-5.9305941624	4.78511563605307e-07	4.32377793251275e-13	10.4807858842
ABCC6	-0.0639972809	6.4531075076	-3.7210674811	0.0024154567	2.33979933925621e-17	10.9599038576
ABCC6P1	-0.0343453124	6.5169279317	-2.5374586486	0.0113579486	0.0217149964	-4.1981105265
ABCC6P2	-0.1364103059	6.8245548728	-6.6470287232	5.58624278328545e-11	5.73573549776858e-10	14.0429336455
ABCC8	-0.0227621915	6.1398529348	-2.1374457094	0.032869286	0.0552021209	-5.1243573168
ABCC9	0.1104628966	6.5029711486	7.944917103	1.80940831082802e-07	6.45947499241452e-27	25.7083514628
ABCD1	-0.0816349261	6.6453727867	-4.130104959	4.01377435456507e-05	0.0001408115	1.0204631047
ABCD2	0.0081327601	6.2497531499	0.6769541709	0.3331631011	0.0957328274	-6.4578892134
ABCD3	-0.0635440752	7.538658036	-2.8826222871	0.0040512254	0.0087371427	-3.2736607885
ABCD4	-0.0291453702	6.4138490272	-2.1930448684	0.0030099246	6.01793545685527e-06	-0.8102426464
ABCE1	0.2204973319	8.6147859717	5.8187641212	4.39243208332179e-07	4.67036496479333e-10	9.4628471029
ABCF1	-0.1039294346	9.4119680155	-3.7327500138	0.0004010796	0.0001685316	-0.4497940018
ABCF2	0.1094381094	7.1568553989	4.3268171427	0.2148747562	1.67624567615082e-13	6.1100062832
ABCF3	-0.1471758616	6.9627913015	-6.0588348536	2.12402000410184e-09	1.70437629652963e-08	10.4980634075
ABCG1	-0.0375737023	6.5049626861	-1.5489341687	0.1365587268	2.52723143971052e-06	-2.3600264107
ABCG2	-0.0796891914	6.2403055785	-2.2341591965	0.0257526667	0.0446734566	-4.9147502876
ABCG4	-0.0197435158	6.7090993465	-1.1618902634	0.2456322363	0.3149061142	-6.7237694524
ABCG5	0.0271145353	6.4781448333	2.3752149356	0.0177773706	0.0322010734	-4.5926319752
ABCG8	0.0407413014	6.4228328144	3.4518822712	0.0005863877	0.0015630497	-1.4979328129
ABHD1	-0.010050472	6.4363947817	-0.8275563654	0.4081726135	0.4835800108	-7.055104009
ABHD10	-0.0109810943	7.8954518476	-0.3834610842	0.7014814666	0.7560683496	-7.323214229
ABHD11	-0.0358071402	6.6377621864	-1.5515771381	0.325828962	1.46669179914911e-08	-0.9504492097
ABHD12	-0.3692365315	7.9868075701	-8.7583743756	2.54956588645467e-13	7.36920109585726e-20	29.5353035201
