gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
DEC1	0.0186792985	6.4099578888	1.5068270598	0.1322846442	0.1606483604	-6.7092889429
MARCH1	0.1172355867	6.3902354547	6.4538180545	3.08295738100749e-10	2.54181540636106e-10	12.4220087964
SEPT1	0.1091677075	6.5715580119	5.4394041984	1.48166617224144e-07	5.1735214348153e-08	6.6867848112
MARCH2	-0.2939939785	7.0470561794	-7.223275705	0.1599648958	3.29606037188239e-30	27.1989940156
SEPT2	-0.1459803033	9.3705136334	-3.0649205917	0.0916142549	2.48475311306543e-30	16.730940865
MARCH3	-0.2891714527	7.4139082362	-3.2951080027	0.1011385456	9.89055741333879e-06	-1.2064152242
SEPT3	0.6918216343	6.5930140514	11.600570084	1.57659869263522e-23	1.9010045278391e-33	54.441338179
MARCH4	-0.1875224556	7.3957953165	-1.70755547	0.0881411522	0.1102867714	-6.3878648859
SEPT4	-0.0781701347	6.6494917491	-2.054176512	0.1137016577	2.57367749912484e-10	-0.3770075856
MARCH5	-0.0160211321	7.2838332404	-0.4465226023	0.1371786301	0.0503396619	-6.4154038257
SEPT5	-0.1656023049	7.131449389	-1.6007358252	0.0433293447	1.91779745228563e-05	-3.3821126489
MARCH6	-0.2776938881	8.7987401149	-5.1311379273	3.68919510653712e-07	9.15149023512893e-07	5.0890451924
SEPT6	0.1703461846	6.9213584655	4.8674522295	0.002153102	7.90587380443235e-11	5.0821346763
MARCH7	0.0863813596	9.8849726287	2.0361647683	0.042091841	0.055318597	-5.7757926644
SEPT7	-0.3602543519	7.2709124568	-5.4101487054	8.52716397125924e-08	2.26682322016404e-07	6.5057237676
MARCH8	-0.0137388815	6.3678805946	-1.4109072109	0.0724806972	1.68644051586097e-09	1.8542845974
SEPT8	0.0552921975	6.7811592994	2.8996655956	0.0038470107	0.005865865	-3.6631347373
MARCH9	0.0846980794	6.5429411127	4.5515006925	6.23155946297771e-06	1.34363289201507e-05	2.3703921943
SEPT9	-0.4601291176	12.5504897795	-9.7506186443	3.30969456701475e-21	2.50392734414022e-20	36.8508400881
MARCH10	-0.0131879157	6.3200422678	-1.1417670031	0.1267367255	0.0010841893	-4.6015941119
SEPT10	-0.0681574975	6.8761803394	-3.5233499474	0.2616181504	8.45480124814545e-14	2.9760388444
MARCH11	0.1003253738	6.356282619	5.5289446691	4.47852492429596e-08	1.22829807037584e-07	7.1299354572
SEPT11	-1.3051111801	9.4777151682	-11.9513982593	3.28197628606862e-30	3.81424758777822e-29	57.4021835793
SEPT12	-0.0125376161	6.574375513	-0.944626616	0.3451599459	0.387991751	-7.3968067549
SEPT13	-0.0610295497	6.664972428	-3.777677774	0.0001711026	0.000310821	-0.7767706324
SEPT14	0.0333368136	6.3385588465	2.6206299493	0.0089580582	0.0129900232	-4.4252653363
SEPT15	0.0079871077	10.4602688703	0.1338021487	0.8935956548	0.9069412148	-7.8336774419
7A5	0.1316547695	6.4530154128	8.1931926492	1.12732913661873e-15	6.02726765357019e-15	24.2691381951
A1BG	-0.010547909	6.524580703	-0.8970587925	0.4881349603	0.1267011389	-7.1690889126
A1CF	0.1042658738	6.3948132532	2.0004565242	3.62142838522181e-05	3.17503731745979e-14	10.3820148974
A26C3	0.0374727285	6.3743900667	1.9637104777	0.0029794422	1.62408366988581e-11	3.6983850319
A2BP1	-0.0031522739	6.2639455595	-0.4767420215	0.1427723048	3.11260757644221e-10	3.4648585655
A2LD1	-0.2693585944	7.0874983235	-6.8168719572	1.94100155572511e-11	7.43877348900137e-11	14.6828064083
A2M	-0.2334875051	6.5619316975	-2.5626009735	0.0105872259	0.015205877	-4.5742673703
A2ML1	0.0303668518	6.1324651609	1.7021895784	0.0891426842	0.1114366131	-6.3969755691
