gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
DEC1	0.0012502873	6.4072250267	0.025024955	0.9800429435	0.9911973713	-7.7539249152
MARCH1	0.0132509493	6.3731346025	0.2476464099	0.6141984456	0.6720424776	-7.5884711561
SEPT1	-0.0195297384	6.5553319266	-0.3086008423	0.738842862	0.7247473235	-7.6455063096
MARCH2	-0.3452315646	7.0869829575	-2.0465213597	0.0815575522	0.0007442106	-3.8389653869
SEPT2	-0.2080101438	9.3899921403	-1.222947824	0.0560969153	1.04501346304542e-05	-1.3998016226
MARCH3	-0.160604516	7.4548764177	-0.4733989642	0.6636593	0.546263449	-7.5656340613
SEPT3	2.7508765909	6.5174332872	13.709621728	5.64165240430066e-37	1.34608433600302e-36	74.5065078932
MARCH4	-0.6786476691	7.4169169572	-1.6795732033	0.0935337143	0.2425037524	-6.3472122578
SEPT4	0.0233968929	6.6611997445	-0.4243413328	0.4682510016	0.2847946307	-7.2891314434
MARCH5	-0.1657872644	7.2846159226	-1.6029487084	0.3649128446	0.0199998317	-5.6998687545
SEPT5	-0.5329306482	7.1507313136	-2.170879853	0.2177036164	0.0029317886	-4.6242896658
MARCH6	-0.4380701376	8.8353917912	-2.0537533325	0.0404097061	0.1275966592	-5.6527690462
SEPT6	-0.1732298493	6.8946860166	-0.6832208351	0.1569356438	0.1099051932	-6.4933450028
MARCH7	0.3725016112	9.8758106784	2.4107285763	0.0162045692	0.0606752821	-4.8623660157
SEPT7	-0.5802499992	7.3183477902	-2.1717070581	0.0302482869	0.1016475871	-5.4053697524
MARCH8	-0.0387453673	6.3695321144	-0.830138121	0.4589050512	0.3278381534	-7.2913319575
SEPT8	-0.1074535615	6.7720162144	-1.4634377878	0.1438438756	0.3302814822	-6.6854653235
MARCH9	-0.073123492	6.529802567	-1.0884931894	0.2767915863	0.5077070189	-7.1625179484
SEPT9	-0.2340995242	12.6158816358	-1.3952396633	0.163432761	0.3604526143	-6.7826072631
MARCH10	-0.0222469771	6.3217692121	-0.4546736485	0.6650293229	0.6725485327	-7.6024579394
SEPT10	0.0948555364	6.8870944233	0.6304499222	0.4374684885	0.0192757313	-6.255819443
MARCH11	0.2380363606	6.3437972002	4.7945063885	2.0346278506643e-06	1.73712053533488e-05	3.532754568
SEPT11	-1.2797685532	9.6573560993	-3.0082434245	0.0027319244	0.0130321707	-3.2625802977
SEPT12	0.0425129943	6.5766207418	0.8416943693	0.4002768402	0.6336952215	-7.4002918596
SEPT13	-0.0367549177	6.6735916474	-0.5891660107	0.5559600623	0.7577037734	-7.5807666307
SEPT14	-0.0381980731	6.3332983089	-0.7462421099	0.4557981519	0.6824429852	-7.4759849802
SEPT15	-0.3367538773	10.4559032746	-1.4084769487	0.1594807393	0.3548348785	-6.7641121799
7A5	-0.0012645348	6.4336582361	-0.0200878348	0.9839796332	0.9928862102	-7.7540362535
A1BG	-0.00241794	6.526107681	-0.0793162821	0.6893150261	0.8109800865	-7.6706314944
A1CF	-0.0339041738	6.3791711868	-0.6654735116	0.1320386783	0.1845076772	-6.539458028
A26C3	0.0028558154	6.3689109392	-0.0263355389	0.4806050849	0.5111081427	-7.4139655284
A2BP1	-0.0078046133	6.2643347734	-0.1602340894	0.776805429	0.8067347796	-7.7058222945
A2LD1	-0.4830577499	7.1224987991	-3.258719751	0.001179054	0.0061499613	-2.4899180539
A2M	-0.4834652935	6.5916574562	-1.3789566974	0.1683950371	0.3674636163	-6.8051196808
A2ML1	0.1760000913	6.1296713402	3.9015018095	0.0001058283	0.000684897	-0.2352925413
A3GALT2	0.0386020807	6.3800854233	0.6260363372	0.5429523382	0.62226466	-7.5302576192
A4GALT	-0.6854267776	7.3673226441	-2.2080843844	0.0275960391	0.094407397	-5.3263250811
A4GNT	-0.0857357528	6.4637665874	-1.5139167449	0.1305459615	0.3083216476	-6.610598073
AAA1	-0.0115394315	6.3369621166	-0.1921184245	0.5986570922	0.1992664971	-7.3321833979
AAAS	0.2528576821	6.7823994698	3.4089995155	0.0006934069	0.0038041936	-1.997681
AACS	0.7483092845	7.3751584429	5.7864072743	1.13123064879165e-08	1.30953810718329e-07	8.5549046577
AACSL	-0.0727743994	6.6990675036	-1.1782147586	0.2391536278	0.4629664991	-7.0610612121
AADAC	-0.0275444414	6.5455489632	-0.2121140009	0.8320863616	0.9234813163	-7.7317476912
AADACL1	-0.7238812	7.6744700757	-4.0645568778	0.0077769819	2.03814565149458e-07	1.6375696286
AADACL2	-0.0008182502	6.4158179334	-0.0155873977	0.98756847	0.9942839019	-7.7541165124
AADACL3	0.0394875604	6.3251091543	0.7476592609	0.4549432965	0.6818441039	-7.4749276116
AADACL4	-0.2345483439	6.3881068243	-1.8933516058	0.0587668117	0.1708912253	-5.9673168863
AADAT	0.2204121619	6.6767393831	2.7624546419	0.2439764253	3.64195023737796e-05	-2.4651409138
AAGAB	0.2026254218	7.9591287077	1.5685371281	0.1172554339	0.286043665	-6.5267499786
AAK1	-0.1301536026	6.687973748	-1.2028678638	0.3090359579	0.1117819361	-6.4994785145
AAMP	0.0938465645	8.3972667863	0.5713741684	0.5679487959	0.7661414086	-7.5910828681
AANAT	-0.0388556296	6.135704844	-0.8668528667	0.3863510171	0.6203972696	-7.3788292767
AARS	0.6748586296	11.3355837649	3.1525669053	0.0016948995	0.0085243105	-2.824684404
AARS2	-0.0156969296	7.8213320732	-0.1247118278	0.9007912771	0.956653988	-7.7464633059
AARSD1	0.3615507872	8.3845355843	3.2745080371	0.0011161471	0.0058632791	-2.4392116498
AASDH	-0.1019941181	7.2922422396	-0.9428037544	0.3461408867	0.5825122592	-7.3102113786
AASDHPPT	-0.1953538997	8.3104571462	-1.3613298894	0.2537025292	0.1455645046	-6.637966862
AASS	2.6203220031	6.9113044568	25.4430872681	7.78984992311884e-93	1.16303840496349e-102	214.9729476205
AATF	0.293088553	8.3569707407	2.4897606187	0.0130383891	0.050538872	-4.6705843498
AATK	-0.1614582884	6.7785481863	-1.4470470703	0.3875331661	0.0044799741	-5.6818865385
ABAT	0.0349184734	6.3640875574	0.6138629015	0.2494848789	0.1313883411	-6.7706183719
ABCA1	-2.5954860821	9.5140751163	-6.9953387634	6.7494177443144e-12	1.11814012445357e-10	15.8067305972
ABCA10	0.0343104631	6.4603835981	0.5931807244	0.5576146684	0.6849555928	-7.5674267808
ABCA11	0.0824899235	6.6441494495	1.3958699508	0.1632429247	0.3601516524	-6.7817305632
ABCA12	-0.0980219222	6.1846965714	-2.0342377523	0.0474976478	0.0849375858	-5.6678128288
ABCA13	-0.1033153754	6.1235800047	-1.0567145634	0.2910448931	0.5245093616	-7.196534168
ABCA2	-0.3250560864	6.6492907151	-2.8292315052	0.113291445	7.87082765685364e-05	-2.5191295377
ABCA3	0.1006849173	6.9022617437	0.4040513671	0.6863113842	0.8435959138	-7.6726382482
ABCA4	-0.1832694888	6.6316866744	-1.2828834074	0.2000023378	0.412466615	-6.932598826
ABCA5	-0.205128502	6.3398988185	-2.416005706	0.1040292397	0.0045071055	-4.3566219812
ABCA6	-0.2312019289	6.6126229915	-1.5417146302	0.1326691878	0.2133604026	-6.5443745552
ABCA7	0.1909130504	6.5452709304	1.2621407019	0.2371583136	2.59285593547093e-05	-3.7094858723
ABCA8	-0.2901730206	6.7112181635	-0.8495718927	0.5433836735	0.234024861	-7.0316802486
ABCA9	-0.141526233	6.5623133928	-1.419243194	0.2255821917	0.139332069	-6.5779681334
ABCB1	-0.1088467837	6.3315332363	-1.0379441388	0.3063242682	0.4504521065	-7.2024313299
ABCB10	-0.4806078581	8.0286672238	-3.4895757015	0.0005173645	0.0029187344	-1.7249485449
ABCB11	0.0428405416	6.4852480923	0.6769553683	0.498681519	0.7161115614	-7.5252386115
ABCB4	0.0573985535	6.4069965174	0.5826847903	0.5603129639	0.761097813	-7.5845612207
ABCB5	-0.1060686898	6.1223116862	-2.5328578296	0.0115540267	0.0456583196	-4.5634476304
ABCB6	0.3234067147	8.1471878809	1.8095654094	0.0708372874	0.1974223121	-6.1215713306
ABCB7	0.5917134655	7.9217373228	4.8711692829	1.40330227141488e-06	1.22558005882389e-05	3.8899673507
ABCB8	0.0568182408	6.5099927564	0.9676069277	0.3336101697	0.569555103	-7.2865587752
ABCB9	-0.5145485878	7.3425550937	-3.2836156891	0.2959940427	8.82015832269108e-07	0.0559376715
ABCC1	-0.0852245621	6.7292547564	-0.4512136239	0.3098133309	0.284608887	-7.0255153207
ABCC10	-0.4454895835	7.0642413301	-3.9386625775	9.1039665085379e-05	0.0005957183	-0.0931096033
ABCC11	-0.0385427807	6.3470973615	-0.7345517472	0.4788324142	0.5406148182	-7.4474211643
ABCC12	-0.0339385777	6.2323717134	-0.7075372795	0.4794930003	0.7009018406	-7.5040892361
ABCC13	-0.0043437801	6.3945322666	-0.1071523697	0.808556829	0.8350676755	-7.71533229
ABCC2	0.1250810416	6.2455612865	1.8394743178	0.0663134596	0.1878404107	-6.0673001697
ABCC3	-0.3449927995	6.9139440031	-1.5220024037	0.1702917097	0.1427097472	-6.4883936467
ABCC4	-0.559885007	7.9189296145	-1.4287118067	0.154829177	0.3115702707	-6.7324869662
ABCC5	-0.0838006467	7.2679094309	-0.3857938229	0.5073927089	0.2455849919	-7.2199366865
ABCC6	-0.1167869316	6.4650114055	-1.4046746938	0.2736208054	0.0082668841	-5.9738141469
ABCC6P1	-0.0308127413	6.5236183963	-0.4958817659	0.6201499115	0.8033764083	-7.6313403689
ABCC6P2	-0.2391086407	6.8500211581	-2.4787523897	0.0134436636	0.0518756271	-4.6976610124
ABCC8	0.2391695568	6.1467475822	5.0241080402	6.58804345633432e-07	6.05016294937053e-06	4.6182648608
ABCC9	-0.0534365471	6.4800071272	-0.9250326213	0.3591144436	0.5101766605	-7.3188583436
ABCD1	-0.4081889345	6.6581003786	-4.7268710757	2.81187695848442e-06	2.35433009441904e-05	3.2219824638
ABCD2	-0.0099707102	6.2480052207	-0.241742196	0.574238549	0.6447628191	-7.5576835961
ABCD3	-0.4498060715	7.547313216	-4.6199833178	4.65112157290504e-06	3.76675450977157e-05	2.739248761
ABCD4	-0.0777669384	6.419037261	-1.2962638891	0.2817019423	0.0217339651	-6.2702509256
ABCE1	1.1046130226	8.5804283172	6.8217372678	1.12040872491384e-10	3.14901429444881e-11	14.7474167685
ABCF1	0.7788808802	9.4404800097	6.6552345537	1.04260086518605e-10	3.07267089336748e-10	13.6584145667
ABCF2	0.00997721	7.1347007987	0.1496402723	0.3169984885	0.0020718898	-4.0596520317
ABCF3	-0.281534545	6.9900441226	-2.5948173672	0.009683312	0.0391870885	-4.4062644807
ABCG1	-0.0720881619	6.5119182581	-0.5008083134	0.3035410245	0.0173097123	-6.6190882769
ABCG2	-0.0742564742	6.2558028319	-0.4117464343	0.6806646348	0.8402889972	-7.6695009759
ABCG4	0.1302370716	6.7143477506	1.6287122476	0.103871374	0.2618724446	-6.4309618095
ABCG5	0.0098504421	6.4727257175	0.1913972172	0.8482757606	0.9316890045	-7.7359262016
ABCG8	0.0143707199	6.414686173	0.2731184398	0.7848512315	0.899282126	-7.716951778
ABHD1	-0.0825071349	6.4376560216	-1.4456139074	0.1487802961	0.3383102482	-6.7112982656
ABHD10	-0.5106702658	7.8928438681	-3.9630283963	8.24291832259716e-05	0.000544353	0.0008143567
ABHD11	0.0682965536	6.6456892707	0.9827585998	0.4327336664	0.1507292697	-7.0301861577
ABHD12	-0.3793634249	8.0582788557	-1.6313185488	0.2677875024	0.0116930618	-5.8715106274
ABHD12B	0.2414091904	6.4177250216	4.727324324	0.1054767144	2.12287899954677e-12	6.6870421867
