gene,fake
DEC1,Gene 1
MARCH1,Gene 2
SEPT1,Gene 3
MARCH2,Gene 4
SEPT2,Gene 5
MARCH3,Gene 6
SEPT3,Gene 7
MARCH4,Gene 8
SEPT4,Gene 9
MARCH5,Gene 10
SEPT5,Gene 11
MARCH6,Gene 12
SEPT6,Gene 13
MARCH7,Gene 14
SEPT7,Gene 15
MARCH8,Gene 16
SEPT8,Gene 17
MARCH9,Gene 18
SEPT9,Gene 19
MARCH10,Gene 20
SEPT10,Gene 21
MARCH11,Gene 22
SEPT11,Gene 23
SEPT12,Gene 24
SEPT13,Gene 25
SEPT14,Gene 26
SEPT15,Gene 27
7A5,Gene 28
A1BG,Gene 29
A1CF,Gene 30
A26C3,Gene 31
A2BP1,Gene 32
A2LD1,Gene 33
A2M,Gene 34
A2ML1,Gene 35
A3GALT2,Gene 36
A4GALT,Gene 37
A4GNT,Gene 38
AAA1,Gene 39
AAAS,Gene 40
AACS,Gene 41
AACSL,Gene 42
AADAC,Gene 43
AADACL1,Gene 44
AADACL2,Gene 45
AADACL3,Gene 46
AADACL4,Gene 47
AADAT,Gene 48
AAGAB,Gene 49
AAK1,Gene 50
AAMP,Gene 51
AANAT,Gene 52
AARS,Gene 53
AARS2,Gene 54
AARSD1,Gene 55
AASDH,Gene 56
AASDHPPT,Gene 57
AASS,Gene 58
AATF,Gene 59
AATK,Gene 60
ABAT,Gene 61
ABCA1,Gene 62
ABCA10,Gene 63
ABCA11,Gene 64
ABCA12,Gene 65
ABCA13,Gene 66
ABCA2,Gene 67
ABCA3,Gene 68
ABCA4,Gene 69
ABCA5,Gene 70
ABCA6,Gene 71
ABCA7,Gene 72
ABCA8,Gene 73
ABCA9,Gene 74
ABCB1,Gene 75
ABCB10,Gene 76
ABCB11,Gene 77
ABCB4,Gene 78
ABCB5,Gene 79
ABCB6,Gene 80
ABCB7,Gene 81
ABCB8,Gene 82
ABCB9,Gene 83
ABCC1,Gene 84
ABCC10,Gene 85
ABCC11,Gene 86
ABCC12,Gene 87
ABCC13,Gene 88
ABCC2,Gene 89
ABCC3,Gene 90
ABCC4,Gene 91
ABCC5,Gene 92
ABCC6,Gene 93
ABCC6P1,Gene 94
ABCC6P2,Gene 95
ABCC8,Gene 96
ABCC9,Gene 97
ABCD1,Gene 98
ABCD2,Gene 99
ABCD3,Gene 100
ABCD4,Gene 101
ABCE1,Gene 102
ABCF1,Gene 103
ABCF2,Gene 104
ABCF3,Gene 105
ABCG1,Gene 106
ABCG2,Gene 107
ABCG4,Gene 108
ABCG5,Gene 109
ABCG8,Gene 110
ABHD1,Gene 111
ABHD10,Gene 112
ABHD11,Gene 113
ABHD12,Gene 114
ABHD12B,Gene 115
ABHD13,Gene 116
ABHD14A,Gene 117
ABHD14B,Gene 118
ABHD15,Gene 119
ABHD2,Gene 120
ABHD3,Gene 121
ABHD4,Gene 122
ABHD5,Gene 123
ABHD6,Gene 124
ABHD7,Gene 125
ABHD8,Gene 126
ABHD9,Gene 127
ABI1,Gene 128
ABI2,Gene 129
ABI3,Gene 130
ABI3BP,Gene 131
ABL1,Gene 132
ABL2,Gene 133
ABLIM1,Gene 134
ABLIM2,Gene 135
ABLIM3,Gene 136
ABO,Gene 137
ABP1,Gene 138
ABR,Gene 139
ABRA,Gene 140
ABT1,Gene 141
ABTB1,Gene 142
ABTB2,Gene 143
ACAA1,Gene 144
ACAA2,Gene 145
ACACA,Gene 146
ACACB,Gene 147
ACAD10,Gene 148
ACAD11,Gene 149
ACAD8,Gene 150
ACAD9,Gene 151
ACADL,Gene 152
ACADM,Gene 153
ACADS,Gene 154
ACADSB,Gene 155
ACADVL,Gene 156
ACAN,Gene 157
ACAP1,Gene 158
ACAP2,Gene 159
ACAP3,Gene 160
ACAT1,Gene 161
ACAT2,Gene 162
ACBD3,Gene 163
ACBD4,Gene 164
ACBD5,Gene 165
ACBD6,Gene 166
ACBD7,Gene 167
ACCN1,Gene 168
ACCN2,Gene 169
ACCN3,Gene 170
ACCN4,Gene 171
