SYMBOL	Normal_A1209_16.CEL	Normal_A1209_17.CEL	Normal_A1209_18.CEL	Normal_A1209_19.CEL	Tumour_A1209_04.CEL	Tumour_A1209_08.CEL	Tumour_A1209_12.CEL	Tumour_A1209_15.CEL
A1BG	100.6993967	106.885624	99.91566868	99.86437214	94.91856082	81.22696286	114.4975004	101.0965615
A1CF	21.20186918	25.44777788	21.85567107	25.23257331	21.9908103	22.39907028	27.55699005	27.04254023
A2M	104.3023021	40.08374026	52.74782163	37.50546061	31.40658185	31.39104952	27.459775	31.62090391
A2ML1	1152.984776	2142.807086	1323.001087	1417.948573	2992.992419	2065.718842	3348.214151	2990.943963
A3GALT2	49.59442881	47.49089006	53.89547475	54.69219778	42.0140097	44.41240344	45.94397451	53.27217504
A4GALT	97.7085547	98.56716064	120.5758324	102.0914903	220.3262794	125.4877244	114.8028046	141.1555642
A4GNT	21.17182709	25.34221361	24.06157402	34.53757805	21.82355614	20.96060467	23.05330029	21.90954329
AAAS	246.0490288	269.0081518	214.4309067	211.2953589	497.3109651	573.8438158	437.0426848	480.9307853
AACS	473.2340654	545.413567	472.8389288	506.8631167	309.7012525	289.8583885	410.8572666	368.4879682
AADAC	86.61303263	236.4435589	145.2581687	103.496739	8.117321275	7.536775533	9.528757039	8.543567925
AADACL2	1063.319314	1128.936709	1095.164693	1074.833889	15.08615495	16.31494089	16.57912041	17.95793984
AADACL3	24.91637672	31.01324712	33.3230129	33.85583572	30.41282093	27.15547781	24.13576298	21.69029682
AADACL4	18.84749405	19.57124438	16.41508831	22.40001328	16.52692494	20.25010238	19.76590732	26.47880705
AADAT	22.23305507	18.86250534	20.11781016	17.70785381	71.1443978	86.87602187	62.71189449	52.65881971
AAED1	222.2151324	229.1558854	182.3479444	245.8645681	443.5342387	424.823808	421.3382551	356.2357084
AAGAB	91.09532633	92.57893022	90.8849349	82.07637498	181.5583796	152.8655553	193.9242946	177.0039353
AAK1	291.4315594	337.1002449	278.5765341	285.0012539	389.9890749	344.4717826	403.663712	416.4656994
AAMDC	135.9884697	138.2146692	162.7462609	105.1470533	47.36670998	45.94943344	48.00513881	49.15720064
AAMP	396.2233863	364.4407615	348.7683565	340.2679968	361.3396729	387.0919617	358.2352856	368.961497
AANAT	42.28498849	42.45190974	46.373791	50.03568596	38.39729015	41.86356272	37.07848616	42.73251739
AAR2	308.5205814	226.5884495	272.0375116	267.9994834	195.7698895	210.4093888	207.4051344	231.6431373
AARD	51.56123852	48.29447919	48.2492382	60.65037902	64.04292259	50.99319315	53.90152561	57.03262457
AARS	337.4894654	334.8929568	264.2814823	241.2000022	728.0697795	647.6935048	780.3934564	670.1195472
AARS2	79.02069283	77.11425183	78.96024954	79.33356126	80.4380209	82.1891342	87.51131503	89.40052744
AASDH	149.2455128	140.3956222	141.30777	121.7827158	165.1970325	155.7991985	148.2064924	150.0895135
AASDHPPT	303.725648	283.2043139	298.8033362	263.7248107	388.2999482	431.385454	371.4369346	339.1955982
AASS	142.4588698	132.3085106	169.3759837	93.09932502	177.861496	247.9055968	199.6146481	144.7481539
AATBC	108.6920221	158.9810631	140.1922746	102.2818071	85.78584481	73.86082223	80.87214866	82.29043565
AATF	372.9489752	406.9528651	350.6980709	346.9554227	477.1327309	587.2769337	482.8127145	440.6318704
AATK	120.4284183	113.3830576	126.5081578	132.0022035	88.13914673	81.184397	99.35872684	101.6498675
AATK-AS1	101.6762323	93.94884901	87.10986015	90.76060763	75.82356924	69.64444345	77.94970375	88.53643268
ABAT	72.97259942	97.64849978	89.991162	72.13461023	151.3594604	137.684019	145.9188728	134.1362422
ABCA1	318.2686842	237.4514686	229.2798976	188.5237996	176.9247623	250.0459301	208.2856739	214.9068869
ABCA10	53.08250969	87.43608002	77.50981294	60.31824107	25.95138923	24.65772133	29.2730842	24.23030455
ABCA11P	92.8513215	70.89139709	61.23272768	45.71184427	48.7770669	55.08330477	34.82690084	35.57277468
ABCA12	1632.511303	1769.918078	1306.393358	1639.197889	1319.620027	833.8462353	1343.278008	1197.42766
ABCA13	40.70648434	30.71521965	28.41439016	37.62434036	26.52664511	25.81313639	30.66561779	32.0628599
ABCA2	171.3230105	159.1840485	176.752476	171.5827426	108.9933542	81.16790528	90.14772079	89.70120193
ABCA3	84.17475524	97.05313564	95.04880031	90.80610189	54.65396983	55.59094643	52.07521984	56.76779746
ABCA4	27.14931457	28.84470074	31.81989776	26.79205628	24.70669662	23.10947935	23.84369735	29.9846917
ABCA5	307.3083227	395.830046	342.9224281	342.9385534	118.1097419	87.24808377	147.0463492	112.5773228
ABCA6	47.81888991	52.98860332	50.22643228	40.70491734	16.77185355	15.07454168	16.43787808	20.21610675
