SYMBOL	Normal_A1209_16.CEL	Normal_A1209_17.CEL	Normal_A1209_18.CEL	Normal_A1209_19.CEL	Tumour_A1209_02.CEL	Tumour_A1209_06.CEL	Tumour_A1209_10.CEL	Tumour_A1209_14.CEL
A1BG	100.6993967	106.885624	99.91566868	99.86437214	126.9533194	115.7163478	111.6081802	101.1538913
A1CF	21.20186918	25.44777788	21.85567107	25.23257331	23.31113057	26.06356715	24.57835167	25.92067996
A2M	104.3023021	40.08374026	52.74782163	37.50546061	41.68669671	35.02334259	32.0431444	32.57852278
A2ML1	1152.984776	2142.807086	1323.001087	1417.948573	3464.934494	3218.287743	3732.219935	3415.477358
A3GALT2	49.59442881	47.49089006	53.89547475	54.69219778	65.86856742	54.84791416	58.70656216	40.64305656
A4GALT	97.7085547	98.56716064	120.5758324	102.0914903	112.6809592	96.64701728	96.75942978	90.37227045
A4GNT	21.17182709	25.34221361	24.06157402	34.53757805	32.54264114	24.028329	21.79959476	21.85520074
AAAS	246.0490288	269.0081518	214.4309067	211.2953589	247.2164357	254.3653642	269.8944049	258.7604761
AACS	473.2340654	545.413567	472.8389288	506.8631167	267.2021693	292.263231	327.4583885	330.2704405
AADAC	86.61303263	236.4435589	145.2581687	103.496739	281.3243736	255.3726459	465.6772222	185.077442
AADACL2	1063.319314	1128.936709	1095.164693	1074.833889	1074.132882	1133.464507	1470.415627	953.372898
AADACL3	24.91637672	31.01324712	33.3230129	33.85583572	41.24776329	30.42296485	38.81333478	32.5943781
AADACL4	18.84749405	19.57124438	16.41508831	22.40001328	22.591292	22.04015957	25.54593905	18.66300617
AADAT	22.23305507	18.86250534	20.11781016	17.70785381	21.33372619	23.88636695	22.86400805	28.84959188
AAED1	222.2151324	229.1558854	182.3479444	245.8645681	250.4062341	242.1423633	231.1595121	254.1356782
AAGAB	91.09532633	92.57893022	90.8849349	82.07637498	143.0040191	160.9977472	170.2302479	208.1044029
AAK1	291.4315594	337.1002449	278.5765341	285.0012539	279.0920506	354.1169275	339.5126777	360.6886298
AAMDC	135.9884697	138.2146692	162.7462609	105.1470533	40.72041593	42.36729166	40.17925957	43.23652604
AAMP	396.2233863	364.4407615	348.7683565	340.2679968	372.7975715	442.1409368	480.7668481	454.2753556
AANAT	42.28498849	42.45190974	46.373791	50.03568596	65.87638728	50.89624952	45.17611169	38.18797
AAR2	308.5205814	226.5884495	272.0375116	267.9994834	255.7795551	255.1436938	261.6150112	259.2651422
AARD	51.56123852	48.29447919	48.2492382	60.65037902	58.56157736	60.63483	50.98847899	57.45060389
AARS	337.4894654	334.8929568	264.2814823	241.2000022	434.5590536	466.3827862	406.2152949	333.1427254
AARS2	79.02069283	77.11425183	78.96024954	79.33356126	82.31568037	89.07221786	74.88374606	78.56542723
AASDH	149.2455128	140.3956222	141.30777	121.7827158	98.42582552	129.4633728	157.865287	181.1413811
AASDHPPT	303.725648	283.2043139	298.8033362	263.7248107	384.3025118	407.3201131	405.6552257	438.7397206
AASS	142.4588698	132.3085106	169.3759837	93.09932502	99.96198305	197.7138148	150.6461149	129.4656937
AATBC	108.6920221	158.9810631	140.1922746	102.2818071	112.1981428	134.0859216	136.176509	100.5900579
AATF	372.9489752	406.9528651	350.6980709	346.9554227	428.7618851	392.490272	396.4749318	409.5555793
AATK	120.4284183	113.3830576	126.5081578	132.0022035	166.5953498	139.5934201	109.2291269	132.2130472
AATK-AS1	101.6762323	93.94884901	87.10986015	90.76060763	108.7321721	81.06053099	98.17672901	81.00296278
ABAT	72.97259942	97.64849978	89.991162	72.13461023	83.25915517	84.99137081	81.81484177	86.33332916
ABCA1	318.2686842	237.4514686	229.2798976	188.5237996	290.9452036	344.0642346	334.6897806	272.7297282
ABCA10	53.08250969	87.43608002	77.50981294	60.31824107	18.5533286	21.81835621	32.01814234	28.61004225
ABCA11P	92.8513215	70.89139709	61.23272768	45.71184427	35.99143535	72.7646164	76.24400675	61.35383424
ABCA12	1632.511303	1769.918078	1306.393358	1639.197889	3262.676679	3522.555903	3358.086498	3656.478711
ABCA13	40.70648434	30.71521965	28.41439016	37.62434036	65.2066983	58.60668715	46.11127429	56.82205385
ABCA2	171.3230105	159.1840485	176.752476	171.5827426	115.243692	91.59865384	95.26506237	100.0667522
ABCA3	84.17475524	97.05313564	95.04880031	90.80610189	58.358683	56.4708905	49.40648707	54.92996621
ABCA4	27.14931457	28.84470074	31.81989776	26.79205628	35.30667878	26.23006526	31.37226882	26.495047
ABCA5	307.3083227	395.830046	342.9224281	342.9385534	116.4811323	164.1524136	215.2712404	192.797601
ABCA6	47.81888991	52.98860332	50.22643228	40.70491734	19.11273794	22.63026302	29.46418043	28.11582488
ABCA7	107.8848261	118.1552513	121.8335689	114.5547596	110.0325611	110.3404945	102.088741	102.894807
ABCA8	18.32979108	24.41973045	14.82225474	16.59851806	13.43861531	13.15300107	12.57733887	13.17750268
ABCA9	30.40819241	37.77415795	34.10931303	29.96925961	18.55337304	18.92072013	19.27287993	23.85051122
ABCB1	28.40978998	25.72634397	24.15010783	27.67821848	28.67960648	21.8207087	20.96755103	26.28908265
ABCB10	90.20664926	104.3065963	105.4516172	93.07352268	112.1415473	111.736854	108.1536031	113.2372005
ABCB11	33.7805196	18.85076054	27.4999023	21.41167483	24.59790426	27.94481193	21.85634352	19.03978363
