SYMBOL	Normal_A1209_16.CEL	Normal_A1209_17.CEL	Normal_A1209_18.CEL	Normal_A1209_19.CEL	Tumour_A1209_03.CEL	Tumour_A1209_07.CEL	Tumour_A1209_11.CEL
A1BG	100.6993967	106.885624	99.91566868	99.86437214	95.69880447	106.8711498	106.6465995
A1CF	21.20186918	25.44777788	21.85567107	25.23257331	24.82720143	24.52824631	26.7944514
A2M	104.3023021	40.08374026	52.74782163	37.50546061	33.76726884	32.93750403	35.26576803
A2ML1	1152.984776	2142.807086	1323.001087	1417.948573	2322.772676	1553.375032	1929.937816
A3GALT2	49.59442881	47.49089006	53.89547475	54.69219778	51.04280682	63.19304505	47.89085164
A4GALT	97.7085547	98.56716064	120.5758324	102.0914903	88.97319621	112.7210935	80.85705287
A4GNT	21.17182709	25.34221361	24.06157402	34.53757805	19.51675191	21.76429328	27.94111812
AAAS	246.0490288	269.0081518	214.4309067	211.2953589	320.4551097	278.4445903	341.1748236
AACS	473.2340654	545.413567	472.8389288	506.8631167	328.5258452	300.5470705	278.0150904
AADAC	86.61303263	236.4435589	145.2581687	103.496739	892.5396691	751.5296313	981.581056
AADACL2	1063.319314	1128.936709	1095.164693	1074.833889	2159.20906	2002.972002	2115.137837
AADACL3	24.91637672	31.01324712	33.3230129	33.85583572	26.7807985	36.84124752	24.99160346
AADACL4	18.84749405	19.57124438	16.41508831	22.40001328	19.42573655	25.87585406	34.02352445
AADAT	22.23305507	18.86250534	20.11781016	17.70785381	23.83245185	31.63179994	30.02844028
AAED1	222.2151324	229.1558854	182.3479444	245.8645681	238.5175481	192.8890735	157.9282932
AAGAB	91.09532633	92.57893022	90.8849349	82.07637498	162.5394697	151.5107869	189.6408789
AAK1	291.4315594	337.1002449	278.5765341	285.0012539	298.9406618	238.897884	208.4901138
AAMDC	135.9884697	138.2146692	162.7462609	105.1470533	46.71619537	44.25145781	47.6117727
AAMP	396.2233863	364.4407615	348.7683565	340.2679968	349.0218147	380.6298564	372.5585428
AANAT	42.28498849	42.45190974	46.373791	50.03568596	65.68328778	46.09077565	43.23820186
AAR2	308.5205814	226.5884495	272.0375116	267.9994834	301.1168883	270.560729	244.9990839
AARD	51.56123852	48.29447919	48.2492382	60.65037902	53.4340955	98.92734534	63.15369126
AARS	337.4894654	334.8929568	264.2814823	241.2000022	490.616422	349.5833896	425.3589411
AARS2	79.02069283	77.11425183	78.96024954	79.33356126	95.0232864	85.79997689	75.30119597
AASDH	149.2455128	140.3956222	141.30777	121.7827158	160.4356764	129.1939739	167.3904695
AASDHPPT	303.725648	283.2043139	298.8033362	263.7248107	354.6496429	338.4599176	412.6259467
AASS	142.4588698	132.3085106	169.3759837	93.09932502	90.78250263	67.78586576	104.4699329
AATBC	108.6920221	158.9810631	140.1922746	102.2818071	140.1794475	123.5041231	171.5776089
AATF	372.9489752	406.9528651	350.6980709	346.9554227	414.1131761	374.9793132	399.3713605
