SYMBOL,Norm.y.1,Tumour_24h_5micromol_Capryloylsalicylic_acid,Norm.y,Tumour_24h_10micromol_Capryloylsalicylic_acid.y,Norm.x.2,Tumour_48h_5micromol_Capryloylsalicylic_acid,Norm.x.1,Tumour_48h_10micromol_Capryloylsalicylic_acid
A1BG,23.6962449808,23.084709347,23.6962449808,22.179790387,22.0758510671,22.0731137388,22.0758510671,25.2924446286
A1CF,19.2139395309,23.6591249019,19.2139395309,22.0885480293,22.6391561416,21.9807242331,22.6391561416,21.3797887237
A2BP1,21.0055776801,22.2515705091,21.0055776801,19.1295158961,22.120773714,19.610149096,22.120773714,20.9418353186
A2LD1,30.5854435359,36.9100893765,30.5854435359,33.7083446161,27.6969018299,29.2819026114,27.6969018299,27.7909520044
A2M,14.6140735056,12.7205165797,14.6140735056,13.6116403866,12.4775074823,13.5017584095,12.4775074823,13.2505335693
A2ML1,80.5504142224,126.90175119,80.5504142224,182.639061906,178.450147284,354.505834124,178.450147284,307.971548804
A4GALT,25.373781614,17.1112146965,25.373781614,15.7766348033,18.0976787772,17.9101876746,18.0976787772,16.9111604897
A4GNT,19.8453609402,19.7410059137,19.8453609402,21.3592184328,19.7646903732,18.9303151248,19.7646903732,20.8085181626
AAA1,17.2408614154,16.1263324751,17.2408614154,17.2571810964,16.4480091096,17.2750123873,16.4480091096,16.8426225274
AAAS,62.0167927576,53.2675011727,62.0167927576,53.2176943673,57.2749251541,51.934905229,57.2749251541,51.9480743968
AACS,493.389728718,459.379300475,493.389728718,435.059421043,459.379300475,502.45651095,459.379300475,470.637923979
AACSL,13.5417515739,12.8274098173,13.5417515739,14.8195493354,14.9683743842,15.4251281393,14.9683743842,13.6978738878
AADAC,17.3344297095,19.4541482745,17.3344297095,18.3294266823,18.7545524101,17.6990471318,18.7545524101,20.2322291337
AADACL2,15.6343753578,15.2457050674,15.6343753578,14.6945488933,15.6394649339,15.3919231329,15.6394649339,14.9688527458
