side_eff	ror
PUS IN STOOL	2333.31
PERIRECTAL ABSCESS	162.789
RECTAL CANCER	112.298
HEPATIC NEOPLASM MALIGNANT	60.0852
ALTERED STATE OF CONSCIOUSNESS	43.2688
GLYCOSYLATED HAEMOGLOBIN INCREASED	33.4524
INCONTINENCE	21.2979
CEREBRAL INFARCTION	20.9383
HEPATIC FUNCTION ABNORMAL	19.21
HYPOGLYCAEMIA	18.4249
BLOOD LACTATE DEHYDROGENASE INCREASED	13.2725
SINUS BRADYCARDIA	12.9468
C-REACTIVE PROTEIN INCREASED	12.119
SHOCK	11.3889
DEPRESSED LEVEL OF CONSCIOUSNESS	9.91959
GAMMA-GLUTAMYLTRANSFERASE INCREASED	9.83653
MELAENA	9.11844
URINARY RETENTION	8.77917
RENAL IMPAIRMENT	7.96286
ENCEPHALOPATHY	7.86214
BLOOD CREATINE PHOSPHOKINASE INCREASED	7.67325
BLOOD UREA INCREASED	7.21456
WHITE BLOOD CELL COUNT INCREASED	7.19324
BLOOD ALKALINE PHOSPHATASE INCREASED	6.88207
HYPERLIPIDAEMIA	6.79604
LIVER DISORDER	6.44066
ASPARTATE AMINOTRANSFERASE INCREASED	6.09396
ALANINE AMINOTRANSFERASE INCREASED	5.73451
ASCITES	5.50164
INTERSTITIAL LUNG DISEASE	5.16092
HYPERKALAEMIA	4.74303
BLOOD CREATININE INCREASED	4.52367
ABDOMINAL PAIN UPPER	4.18031
RASH	3.95104
RHABDOMYOLYSIS	3.91166
CARDIAC FAILURE	3.90812
DIARRHOEA	3.05734
MALAISE	2.63979
MYOCARDIAL INFARCTION	2.50708
PYREXIA	2.46286
RENAL FAILURE ACUTE	2.43673
COUGH	2.21482
ANAEMIA	1.8511
CONVULSION	1.78782
HYPOTENSION	1.59574
DEATH	1.0735
DIZZINESS	1.05075
