SYMBOL,Norm.y.2,Tumour_24h_2millimol_Metformin_hydrochloride,Norm.y.3,Tumour_24h_4millimol_Metformin_hydrochloride,Norm.x.3,Tumour_48h_2millimol_Metformin_hydrochloride,Norm.x.4,Tumour_48h_4millimol_Metformin_hydrochloride
A1BG,23.6962449808,21.8461639071,23.6962449808,23.4843074575,22.0758510671,26.1883052327,22.0758510671,25.8688485496
A1CF,19.2139395309,28.1828429526,19.2139395309,31.3535431044,22.6391561416,19.8898257294,22.6391561416,26.8444793506
A2BP1,21.0055776801,20.5018364729,21.0055776801,20.6174607409,22.120773714,20.2775344612,22.120773714,20.2759478814
A2LD1,30.5854435359,32.4574358662,30.5854435359,35.2314458895,27.6969018299,22.8199009372,27.6969018299,24.9117243529
A2M,14.6140735056,13.3731541551,14.6140735056,15.0636503906,12.4775074823,13.2287343707,12.4775074823,12.6559474815
A2ML1,80.5504142224,111.036094903,80.5504142224,103.677534449,178.450147284,333.677757166,178.450147284,260.559295082
A4GALT,25.373781614,17.0064121962,25.373781614,23.8109539592,18.0976787772,16.9834626377,18.0976787772,14.7215432797
A4GNT,19.8453609402,20.1962267557,19.8453609402,18.4613071469,19.7646903732,19.0759249239,19.7646903732,20.4034719398
AAA1,17.2408614154,16.7044995326,17.2408614154,15.5741729456,16.4480091096,15.6123856106,16.4480091096,16.5977482689
AAAS,62.0167927576,64.1977622637,62.0167927576,49.0336374686,57.2749251541,65.4245521506,57.2749251541,45.9004696614
AACS,493.389728718,478.627544177,493.389728718,485.77510395,459.379300475,389.258441404,459.379300475,401.639887908
AACSL,13.5417515739,14.130140753,13.5417515739,14.5848438221,14.9683743842,16.4150229894,14.9683743842,18.4587478366
AADAC,17.3344297095,17.3971565451,17.3344297095,17.5841196375,18.7545524101,16.3368238256,18.7545524101,16.8828728867
AADACL2,15.6343753578,13.8202201188,15.6343753578,13.3941711325,15.6394649339,16.0813486583,15.6394649339,15.9125149015
AADAT,38.5017813147,29.2092884261,38.5017813147,39.4039976949,25.7168013463,15.3749988204,25.7168013463,16.9677479427
AAGAB,71.370274114,76.4804695392,71.370274114,68.1994994411,74.2570383223,72.638378384,74.2570383223,80.1549463742
AAK1,42.7975093309,43.0475462085,42.7975093309,45.1079312812,47.9221394226,54.8970071493,47.9221394226,52.3015112428
AAMP,386.999240864,381.748420948,386.999240864,397.759643297,312.6303289,399.014653037,312.6303289,404.933008195
AANAT,18.3957457445,16.1859158814,18.3957457445,17.1775495749,14.7559626949,16.2955379218,14.7559626949,14.4425300118
AARS,405.959930764,526.292952923,405.959930764,481.63111843,565.458061846,1087.06252198,565.458061846,1041.73238541
AARS2,56.2922640072,51.7120273928,56.2922640072,52.9898912536,59.9898795018,53.5189336729,59.9898795018,49.1894733569
AARSD1,41.0113414689,37.4391811213,41.0113414689,35.5356806397,35.32500319,34.9908055657,35.32500319,32.768256061
AASDH,161.92932714,180.484575578,161.92932714,170.724310346,197.427343253,203.992540931,197.427343253,177.765515161
AASDHPPT,289.094120776,290.590820056,289.094120776,276.547784845,312.415802241,309.857072928,312.415802241,290.979278402
AASS,84.7693360431,79.5456679629,84.7693360431,83.7436138466,64.5927671943,90.8561033787,64.5927671943,74.0933668936
AATF,342.690115389,314.059592527,342.690115389,322.184684201,270.422161757,344.970161884,270.422161757,398.439071767
AATK,20.7912727236,24.6631368632,20.7912727236,21.8242802454,25.8169762799,19.7756460234,25.8169762799,22.273885713
ABAT,251.805385948,266.128993647,251.805385948,240.144477373,212.968469689,113.310905394,212.968469689,109.948146668
ABCA1,110.884324367,122.617060902,110.884324367,134.710262361,108.690680965,119.643253802,108.690680965,122.511158713
ABCA11P,48.0152367557,52.4717200877,48.0152367557,36.7958860487,40.1383028123,37.5433606602,40.1383028123,37.2531277815
ABCA12,50.4078577455,69.9491720571,50.4078577455,81.1654598934,137.971467284,160.718676036,137.971467284,163.483230855
ABCA13,11.432040345,10.8916828917,11.432040345,11.4013293875,10.7549398031,10.2381129746,10.7549398031,11.424437091
ABCA17P,15.39921524,13.414639216,15.39921524,14.2466397815,13.2187543195,15.4268700028,13.2187543195,14.5750815478
ABCA2,19.2209395089,20.9264066913,19.2209395089,23.0288868493,24.2443529204,23.7601326743,24.2443529204,24.6517138023
ABCA3,25.1682532628,27.2939961587,25.1682532628,26.3255592406,23.8329604019,27.5764296895,23.8329604019,25.9477076094
ABCA4,16.2355967225,16.5104131972,16.2355967225,15.1531137411,16.4496506594,14.9121874844,16.4496506594,14.9860109754
ABCA5,49.40514214,62.6924273215,49.40514214,55.6254403538,62.8583998369,88.280324702,62.8583998369,90.840090162
ABCA6,9.72743131764,11.227811695,9.72743131764,11.9207612778,11.4202347812,11.427587412,11.4202347812,12.2358881188
ABCA7,38.445341391,40.7329736847,38.445341391,39.6756660438,39.2434977484,48.7623802157,39.2434977484,53.9516524292
ABCA8,15.8570033411,16.435398697,15.8570033411,15.7487875111,16.8356588087,18.175653889,16.8356588087,16.6981627597
ABCA9,14.1034236111,13.9991246714,14.1034236111,15.2538821477,14.6310078547,15.1337262651,14.6310078547,15.0401240472
