SYMBOL,Norm.y.6,Tumour_24h_01micromol_Retinoic.acid,Norm.y.7,Tumour_24h_1micromol_Retinoic.acid,Norm.x.7,Tumour_48h_01micromol_Retinoic.acid,Norm,Tumour_48h_1micromol_Retinoic.acid
A1BG,23.6962449808,17.3584481503,23.6962449808,23.8562133282,22.0758510671,22.3274938708,22.0758510671,21.999983545
A1CF,19.2139395309,25.0853276238,19.2139395309,23.3141813674,22.6391561416,26.0847561471,22.6391561416,24.3072552823
A2BP1,21.0055776801,19.2504758279,21.0055776801,20.3203040391,22.120773714,19.5121617499,22.120773714,21.3402191708
A2LD1,30.5854435359,29.8534109279,30.5854435359,26.2069441261,27.6969018299,28.1234050001,27.6969018299,33.5967196657
A2M,14.6140735056,13.8806620178,14.6140735056,13.7009870403,12.4775074823,13.0777507167,12.4775074823,13.6863453381
A2ML1,80.5504142224,69.0266328832,80.5504142224,61.2230301528,178.450147284,89.4340141508,178.450147284,107.431411543
A4GALT,25.373781614,17.4412643107,25.373781614,16.2569708063,18.0976787772,16.2105575809,18.0976787772,15.2633423665
A4GNT,19.8453609402,20.7538345177,19.8453609402,19.9149784908,19.7646903732,20.1460862741,19.7646903732,19.9729394792
AAA1,17.2408614154,16.4776660159,17.2408614154,17.8661872269,16.4480091096,17.6567369689,16.4480091096,16.2306288134
AAAS,62.0167927576,56.2401539592,62.0167927576,52.396953441,57.2749251541,63.7539401193,57.2749251541,56.7442103577
AACS,493.389728718,499.862669936,493.389728718,451.88927602,459.379300475,463.771024535,459.379300475,447.588370485
AACSL,13.5417515739,14.7590844531,13.5417515739,15.9121448307,14.9683743842,12.9934984965,14.9683743842,15.020273688
AADAC,17.3344297095,19.1949062029,17.3344297095,20.1840957694,18.7545524101,16.7536875149,18.7545524101,18.1229305855
AADACL2,15.6343753578,15.7744588497,15.6343753578,15.2093813789,15.6394649339,15.7466196464,15.6394649339,15.4512723399
AADAT,38.5017813147,44.9470111355,38.5017813147,33.3737564834,25.7168013463,35.7535219616,25.7168013463,38.6726792861
AAGAB,71.370274114,63.29737238,71.370274114,67.6573246985,74.2570383223,76.6590732687,74.2570383223,69.8045948456
AAK1,42.7975093309,46.6738652581,42.7975093309,48.4559263425,47.9221394226,45.8793312517,47.9221394226,48.0872731542
AAMP,386.999240864,404.826447966,386.999240864,358.710134127,312.6303289,284.387453095,312.6303289,289.551651416
AANAT,18.3957457445,14.0953079954,18.3957457445,13.583308539,14.7559626949,13.9705917634,14.7559626949,15.0310401585
AARS,405.959930764,390.798085749,405.959930764,413.61728218,565.458061846,487.967995526,565.458061846,498.768054472
AARS2,56.2922640072,58.6343445809,56.2922640072,57.2953132065,59.9898795018,58.1790913504,59.9898795018,61.283564026
AARSD1,41.0113414689,41.7068621996,41.0113414689,44.3135880132,35.32500319,35.0984562408,35.32500319,32.9769334301
AASDH,161.92932714,148.556492865,161.92932714,155.816326812,197.427343253,163.348250185,197.427343253,152.326687274
AASDHPPT,289.094120776,286.42311052,289.094120776,303.946528906,312.415802241,306.584415053,312.415802241,293.003228714
AASS,84.7693360431,66.2689798428,84.7693360431,57.6621854775,64.5927671943,61.9467128843,64.5927671943,54.2682251281
AATF,342.690115389,319.647941423,342.690115389,322.232382644,270.422161757,249.698077225,270.422161757,259.385849911
AATK,20.7912727236,21.2746731952,20.7912727236,25.3030212427,25.8169762799,27.5871875321,25.8169762799,25.269188698
ABAT,251.805385948,302.437358593,251.805385948,265.577792269,212.968469689,251.265724676,212.968469689,256.328416952
ABCA1,110.884324367,109.165297269,110.884324367,139.315556117,108.690680965,119.677563575,108.690680965,154.034647776
ABCA11P,48.0152367557,46.6507071788,48.0152367557,49.2890481787,40.1383028123,48.0473859633,40.1383028123,57.5162807415
ABCA12,50.4078577455,43.2256222957,50.4078577455,38.3881714643,137.971467284,72.3672476161,137.971467284,80.9180889581
ABCA13,11.432040345,11.4110641775,11.432040345,11.5949960863,10.7549398031,11.3245936486,10.7549398031,10.9260273798
ABCA17P,15.39921524,15.0401240472,15.39921524,13.9902647272,13.2187543195,14.5441380952,13.2187543195,17.0549649667
ABCA2,19.2209395089,21.2541187137,19.2209395089,20.8788418593,24.2443529204,21.6557759168,24.2443529204,19.766348505
ABCA3,25.1682532628,25.2999980202,25.1682532628,24.4344708351,23.8329604019,31.1394425026,23.8329604019,24.3800783464
