SYMBOL,Norm.y.4,Tumour_24h_10nmol_resveratrol,Norm.y.5,Tumour_24h_50micromol_resveratrol,Norm.x.5,Tumour_48h_10nmol_resveratrol,Norm.x.6,Tumour_48h_50micromol_resveratrol
A1BG,23.6962449808,22.7722283103,23.6962449808,22.9493631301,22.0758510671,21.518840104,22.0758510671,19.8255651609
A1CF,19.2139395309,23.0054735637,19.2139395309,24.0332987631,22.6391561416,31.103908746,22.6391561416,31.1943105446
A2BP1,21.0055776801,20.8207681398,21.0055776801,21.3622341173,22.120773714,19.1476427083,22.120773714,20.4597992275
A2LD1,30.5854435359,34.0383960473,30.5854435359,40.0693998625,27.6969018299,30.341288164,27.6969018299,28.3617999229
A2M,14.6140735056,14.3349291959,14.6140735056,14.0359510275,12.4775074823,14.2437469018,12.4775074823,12.622255715
A2ML1,80.5504142224,91.5642507149,80.5504142224,59.0368643599,178.450147284,350.616522607,178.450147284,282.683449329
A4GALT,25.373781614,14.5763031575,25.373781614,19.7382437176,18.0976787772,17.2160386935,18.0976787772,18.091495951
A4GNT,19.8453609402,20.6627925621,19.8453609402,19.9572951162,19.7646903732,20.1515030161,19.7646903732,23.1923719678
AAA1,17.2408614154,17.3551819875,17.2408614154,16.8331904575,16.4480091096,16.0790369522,16.4480091096,16.2076554953
AAAS,62.0167927576,49.4939777076,62.0167927576,54.5149672048,57.2749251541,48.3424791062,57.2749251541,70.5429185203
AACS,493.389728718,463.771024535,493.389728718,452.100308963,459.379300475,479.280057981,459.379300475,439.423578894
AACSL,13.5417515739,12.0506308732,13.5417515739,11.9850452039,14.9683743842,13.3061831002,14.9683743842,14.0281051906
AADAC,17.3344297095,17.0068879292,17.3344297095,17.3643182018,18.7545524101,16.7468807473,18.7545524101,18.4769140332
AADACL2,15.6343753578,17.6232599719,15.6343753578,15.0012848469,15.6394649339,15.9117747686,15.6394649339,15.3906638355
AADAT,38.5017813147,39.8974718739,38.5017813147,35.5010424802,25.7168013463,22.848566987,25.7168013463,19.8909286019
AAGAB,71.370274114,78.1001032108,71.370274114,68.8819487298,74.2570383223,76.3572979883,74.2570383223,76.9682417593
AAK1,42.7975093309,39.3075819882,42.7975093309,41.2906138214,47.9221394226,45.0630546167,47.9221394226,42.7534587783
AAMP,386.999240864,442.184534869,386.999240864,405.959930764,312.6303289,452.828881285,312.6303289,438.149664364
AANAT,18.3957457445,16.2327682421,18.3957457445,14.9460323348,14.7559626949,14.5266236985,14.7559626949,17.6657273832
AARS,405.959930764,434.778876298,405.959930764,374.661181168,565.458061846,448.822159331,565.458061846,346.140406604
AARS2,56.2922640072,61.5506421753,56.2922640072,60.4816350166,59.9898795018,63.3896020826,59.9898795018,50.6142218775
