side_eff	ror
APPLICATION SITE DISCOLOURATION	442.73
THERAPEUTIC PRODUCT INEFFECTIVE	158.91
APPLICATION SITE EROSION	99.7
APPLICATION SITE EXFOLIATION	97.55
PRODUCT LABEL CONFUSION	82.6
APPLICATION SITE SWELLING	39.67
APPLICATION SITE PAIN	31.55
SKIN DISCOLOURATION	30.92
PRODUCT ADHESION ISSUE	25.09
EYE SWELLING	19.66
APPLICATION SITE VESICLES	16.53
SWELLING FACE	16.29
SKIN EXFOLIATION	14.01
SKIN IRRITATION	10.82
APPLICATION SITE ERYTHEMA	8.79
ACNE	8.59
SKIN BURNING SENSATION	7.68
DRY SKIN	6.94
LIP SWELLING	6.39
BURNING SENSATION	5.85
DRUG EFFECT DECREASED	5.78
ERYTHEMA	5.77
URTICARIA	5.14
DRUG INEFFECTIVE	6.31
THROAT TIGHTNESS	4.92
HYPERSENSITIVITY	4.13
BLISTER	3.56
PRODUCT QUALITY ISSUE	3.57
INCORRECT DRUG ADMINISTRATION DURATION	3.29
CONDITION AGGRAVATED	2.94
LOCAL SWELLING	2.83
WRONG TECHNIQUE IN DRUG USAGE PROCESS	2.55
SWELLING	2.45
INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION	2.31
PRURITUS	2.29
COMPLETED SUICIDE	2.07
TOXICITY TO VARIOUS AGENTS	1.9
DRUG HYPERSENSITIVITY	1.32
PAIN IN EXTREMITY	1.19
PAIN	1.16
RASH	1.14
OVERDOSE	1.08
OFF LABEL USE	1.07
DYSPNOEA	0.93
PARAESTHESIA	0.82
VOMITING	0.45
HEADACHE	0.38
FATIGUE	0.3
DIZZINESS	0.26
NAUSEA	0.18
