SYMBOL	Normal_A1209_16.CEL	Normal_A1209_17.CEL	Normal_A1209_18.CEL	Normal_A1209_19.CEL	Tumour_A1209_01.CEL	Tumour_A1209_05.CEL	Tumour_A1209_09.CEL	Tumour_A1209_13.CEL
A1BG	100.6993967	106.885624	99.91566868	99.86437214	113.4316765	118.5010123	108.2633435	88.51849655
A1CF	21.20186918	25.44777788	21.85567107	25.23257331	28.32242382	26.64808257	28.42343495	22.16676106
A2M	104.3023021	40.08374026	52.74782163	37.50546061	36.00357652	35.21236367	37.53893287	29.89873186
A2ML1	1152.984776	2142.807086	1323.001087	1417.948573	2791.115385	2935.782272	3259.974011	3202.691991
A3GALT2	49.59442881	47.49089006	53.89547475	54.69219778	62.42706575	59.77963385	54.08583964	62.55742943
A4GALT	97.7085547	98.56716064	120.5758324	102.0914903	97.12493379	89.49014335	94.24446749	96.55684656
A4GNT	21.17182709	25.34221361	24.06157402	34.53757805	28.95390353	27.34107445	29.42262984	24.81793765
AAAS	246.0490288	269.0081518	214.4309067	211.2953589	195.0869235	216.4007558	260.6998643	245.3164426
AACS	473.2340654	545.413567	472.8389288	506.8631167	287.5266365	280.2323115	340.483824	295.8483741
AADAC	86.61303263	236.4435589	145.2581687	103.496739	679.7247235	824.9207149	885.1614962	625.7528888
AADACL2	1063.319314	1128.936709	1095.164693	1074.833889	2139.85076	1539.594888	2408.245591	1597.910933
AADACL3	24.91637672	31.01324712	33.3230129	33.85583572	28.85082842	33.38304722	31.27544528	34.15815816
AADACL4	18.84749405	19.57124438	16.41508831	22.40001328	19.55134327	19.42661675	27.85151399	19.91267477
AADAT	22.23305507	18.86250534	20.11781016	17.70785381	20.57069779	19.81103075	20.54341475	28.60100084
AAED1	222.2151324	229.1558854	182.3479444	245.8645681	153.7018998	186.2361928	189.3318002	189.3519218
AAGAB	91.09532633	92.57893022	90.8849349	82.07637498	150.5868399	170.0430624	178.4912458	194.123802
AAK1	291.4315594	337.1002449	278.5765341	285.0012539	334.714701	361.4253398	367.925623	341.0595378
AAMDC	135.9884697	138.2146692	162.7462609	105.1470533	40.61759141	27.5526995	47.83010045	38.00865217
AAMP	396.2233863	364.4407615	348.7683565	340.2679968	302.1167325	415.4914279	372.6438789	378.8557438
AANAT	42.28498849	42.45190974	46.373791	50.03568596	52.69126014	52.1998671	49.63575236	49.11194721
AAR2	308.5205814	226.5884495	272.0375116	267.9994834	225.8131104	247.1940908	264.8729607	212.4673307
AARD	51.56123852	48.29447919	48.2492382	60.65037902	66.29045333	56.97478128	52.83330531	53.26273003
AARS	337.4894654	334.8929568	264.2814823	241.2000022	515.0477901	461.8644692	607.1021276	454.089788
AARS2	79.02069283	77.11425183	78.96024954	79.33356126	81.1833348	78.02561665	80.57017384	82.71103845
AASDH	149.2455128	140.3956222	141.30777	121.7827158	98.86732239	112.542291	102.0350406	170.7497298
AASDHPPT	303.725648	283.2043139	298.8033362	263.7248107	287.059235	278.2099674	334.3960602	319.6017803
AASS	142.4588698	132.3085106	169.3759837	93.09932502	65.05836656	105.3194394	122.3610752	86.329507
AATBC	108.6920221	158.9810631	140.1922746	102.2818071	126.5336729	111.3964164	145.0578133	108.1344821
AATF	372.9489752	406.9528651	350.6980709	346.9554227	387.9365316	431.7246822	463.1560943	409.3642025
AATK	120.4284183	113.3830576	126.5081578	132.0022035	158.5612825	152.5170234	149.7934241	135.2684844
AATK-AS1	101.6762323	93.94884901	87.10986015	90.76060763	116.1617647	100.9269704	95.06235882	94.29957422
ABAT	72.97259942	97.64849978	89.991162	72.13461023	69.82785803	75.81224565	68.73839124	69.7495389
ABCA1	318.2686842	237.4514686	229.2798976	188.5237996	430.8214265	351.8184827	405.1601511	365.6826454
ABCA10	53.08250969	87.43608002	77.50981294	60.31824107	20.2500139	24.9977991	24.29366614	25.78270863
