Pathway,AMCF,genes
AHR_Pathway,1.0,AHR AHRR AIP ARNT EP300 ESR1 GTF2B HAT1 HSP90AA1 NCOA1 NCOA2 NCOA3 NCOA7 NCOR2 NEDD8 NR2F1 NRIP1 POLR2A POLR2B POLR2C PTGES3 RB1 RELA SMARCA4 SP1 SUMO1 TBP 
AHR_Pathway_AHR_Degradation,0.0,AHR AHRR AIP ARNT HSP90AA1 NCOA7 NEDD8 NRIP1 PSMB9 PTGES3 RB1 SUMO1 
AHR_Pathway_Cath_D_Expression,0.0,AHR ARNT EP300 GTF2B NCOA1 NCOA2 NCOA2 NCOA3 NCOR2 NR2F1 POLR2A POLR2B POLR2C SMARCA4 SP1 TBP 
AHR_Pathway_C_Myc_Expression,0.0,AHR ARNT ARNT EP300 GTF2B NCOA1 NCOA2 NCOA3 NCOR2 NR2F1 POLR2A POLR2B POLR2C RELA SMARCA4 SP1 TBP 
AHR_Pathway_PS2_Gene_Expression,0.0,AHR ARNT EP300 ESR1 GTF2B NCOA1 NCOA2 NCOA3 NCOR2 NR2F1 POLR2A POLR2B POLR2C SP1 TBP 
AKT_Pathway,1.0,AATK ACVR1 ACVR2B ACVRL1 AKT1 AKT1S1 AKT2 AKT3 ALK ANGPT1 ANGPT2 ANGPT4 ANGPTL1 ANGPTL6 AR AREG ATF4 ATXN1 ATXN10 ATXN2 ATXN3 ATXN7 AXL BAD BAX BCAP31 BCL2 BDNF BMP1 BMP10 BMP15 BMP2 BMP3 BMP4 BMP5 BMP6 BMP7 BMP8A BMP8B BMPR1A BMPR1B BMPR2 BTC BTK CASP9 CCL1 CCL11 CCL13 CCL14 CCL15 CCL16 CCL17 CCL18 CCL19 CCL2 CCL20 CCL21 CCL22 CCL23 CCL24 CCL25 CCL26 CCL27 CCL28 CCL3 CCL3L1 CCL4 CCL4L1 CCL4L2 CCL5 CCL7 CCL8 CCND1 CCND2 CCND3 CCR1 CCR10 CCR2 CCR3 CCR4 CCR5 CCR6 CCR7 CCR8 CCR9 CCRL2 CD2 CD27 CD4 CD40 CD40LG CD70 CD80 CDC37 CDKN1A CDKN1B CER1 CHEK1 CHUK CLEC11A CREB1 CREB3 CREB3L4 CSF1 CSF1R CSF2 CSF2RA CSF2RB CSF3 CSF3R CTGF CTLA4 CX3CL1 CX3CR1 CXCL1 CXCL10 CXCL11 CXCL12 CXCL13 CXCL14 CXCL16 CXCL2 CXCL3 CXCL5 CXCL6 CXCL9 CXCR1 CXCR2 CXCR3 CXCR4 CXCR5 CXCR6 DAP DDR1 DDR2 EGF EGFR EIF4E EIF4EBP1 EPHA1 EPHA2 EPHA3 EPHA4 EPHA5 EPHA7 EPHA8 EPHB1 EPHB2 EPHB3 EPHB4 EPHB6 EPOR ERBB2 ERBB3 ERBB4 FAS FASLG FGF1 FGF10 FGF11 FGF12 FGF13 FGF14 FGF16 FGF17 FGF18 FGF19 FGF2 FGF20 FGF21 FGF22 FGF23 FGF4 FGF5 FGF6 FGF7 FGF8 FGFR1 FGFR2 FGFR3 FGFR4 FIGF FLT1 FLT3 FLT4 FOXO1 FPR2 GAB1 GAB1 GAB2 GABRA1 GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GABRB1 GABRB2 GABRB3 GABRD GABRE GABRG1 GABRG2 GABRG3 GABRQ GAS1 GAS2 GAS6 GAS8 GDF1 GDF10 GDF15 GDF2 GDF5 GDF6 GDF9 GFER GH1 GH2 GHRH GMFG GNA11 GNA12 GNA13 GNA14 GNA15 GNAI1 GNAI2 GNAI3 GNAL GNAQ GNAS GNB1 GNB2 GNB3 GNB4 GNB5 GNG2 GNG3 GNG4 GNRH1 GNRH2 GPC6 GPR119 GSK3A GSK3B GYS1 GYS2 HDGF HGF HRAS HRH4 HSP90AA1 HTT IGF1 IGF1R IGF2 IGF2AS IKBKB IKBKE IKBKG IL10 IL10RA IL10RB IL11 IL11RA IL12A IL12B IL12RB1 IL12RB2 IL13 IL13RA1 IL13RA2 IL15 IL15RA IL16 IL17A IL17RA IL17RC IL18 IL18R1 IL19 IL1A IL1B IL1R1 IL2 IL20 IL20RA IL21 IL22 IL22RA1 IL23A IL23R IL24 IL26 IL2RA IL2RB IL2RG IL3 IL3RA IL4 IL4R IL5 IL5RA IL6 IL6R IL7 IL7R IL8 IL9 IL9R ILK INSR INSRR IRS1 ITGA1 ITGA10 ITGA11 ITGA2 ITGA2B ITGA3 ITGA4 ITGA5 ITGA6 ITGA7 ITGA8 ITGA9 ITGAD ITGAE ITGAL ITGAM ITGAV ITGAX ITGB1 ITGB2 ITGB3 ITGB4 ITGB5 ITGB6 ITGB7 ITGB8 JAK1 KDR KIT KITLG KLF10 KRAS LEFTY1 LEFTY2 LHB LIF LIFR LMTK2 LMTK3 LTA LTBP1 LTBP2 LTBP3 LTBP4 MAP3K5 MAPK8IP1 MDK MDM2 MERTK MET MRAS MST1R MTOR MUSK NANOS3 NCF1 NGFR NPTN NRAS NRG1 NRG2 NRG3 NRG4 NTF3 NTF4 NTRK1 NTRK2 NTRK3 NUDT6 OGN OSM OSMR P2RY13 PDE3B PDGFA PDGFB PDGFC PDGFD PDGFRA PDGFRB PDPK1 PENK PF4 PF4V1 PFKFB1 PFKFB2 PFKFB3 PFKFB4 PFKL PFKM PFKP PGF PIK3CG PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PIP PPAP2B PPBP PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC PROK1 PSIP1 PTEN PTK2 PTK2B PTK7 PTN PXN RAF1 RET ROR1 ROR2 ROS1 RPS6KB1 RRAS RRAS2 RYK SEMA3A SEMA4B SEMA4G SEMA5A SLC2A4 SPON1 SYK TBRG1 TDGF1 TEK TGFA TGFB1 TGFB2 TGFB3 THEM4 THPO TIE1 TIMP1 TIMP2 TIMP3 TIMP4 TNF TNFAIP6 TNFRSF10A TNFRSF10B TNFRSF10C TNFRSF10D TNFRSF11A TNFRSF12A TNFRSF13B TNFRSF13C TNFRSF14 TNFRSF17 TNFRSF18 TNFRSF1A TNFRSF1B TNFRSF21 TNFRSF25 TNFRSF4 TNFRSF8 TNFRSF9 TNFSF10 TNFSF11 TNFSF12 TNFSF13 TNFSF13B TNFSF14 TNFSF18 TNFSF4 TNFSF8 TNFSF9 TP53 TSC1 TSC2 TYMP TYRO3 UTS2 VEGFB VEGFC WNK1 XCR1 XIAP YAP1 YWHAB YWHAE YWHAG YWHAH YWHAQ YWHAZ 
AKT_Pathway_Aggregation_._Neurodegeneration,0.0,AKT1 AKT2 AKT3 ATXN1 ATXN10 ATXN2 ATXN3 ATXN7 CDC37 HSP90AA1 PDPK1 PFKFB1 PFKFB2 PFKFB3 PFKFB4 PFKL PFKM PFKP PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CD PIK3R1 PIK3R1 PIK3R2 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC PTEN THEM4 
AKT_Pathway_Apoptosis_Inhibition,0.0,AKT1 AKT1S1 AKT2 AKT3 CDC37 HSP90AA1 PDPK1 PFKFB1 PFKFB2 PFKFB3 PFKFB4 PFKL PFKM PFKP PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CD PIK3R1 PIK3R1 PIK3R2 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC PTEN THEM4 YWHAB YWHAE YWHAG YWHAH YWHAQ YWHAZ 
AKT_Pathway_Blocks_Apoptosis,0.0,AKT1 AKT2 AKT3 CDC37 HSP90AA1 PDPK1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC THEM4 XIAP 
AKT_Pathway_Cardiovascular_Homeostasis,0.0,AKT1 AKT2 AKT3 CDC37 HSP90AA1 NANOS3 PDPK1 PFKFB1 PFKFB2 PFKFB3 PFKFB4 PFKL PFKM PFKP PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CD PIK3R1 PIK3R1 PIK3R2 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC PTEN THEM4 
